,winDiff,pk,coverage,purity,recall,precision
KMeans,2.603,0.091,0.4,0.94,0.06,0.081
KMeans,0.181,0.097,0.924,0.976,0.923,0.976
KMeans,1.322,0.558,0.924,0.976,0.062,0.019
KMeans,1.112,0.053,0.444,0.95,0.056,0.076
KMeans,0.163,0.085,0.929,0.976,0.932,0.979
KMeans,1.282,0.582,0.929,0.976,0.188,0.062
specteral,3.356,0.109,0.451,0.946,0.05,0.058
specteral,0.155,0.079,0.935,0.976,0.938,0.98
specteral,1.079,0.552,0.935,0.976,0.188,0.068
specteral,1.091,0.059,0.415,0.949,0.047,0.064
specteral,0.178,0.096,0.925,0.976,0.925,0.976
specteral,1.331,0.577,0.925,0.976,0.062,0.02
affinity,0.224,0.003,0.34,0.969,0.004,0.027
affinity,0.208,0.112,0.903,0.976,0.905,0.979
affinity,1.69,0.608,0.903,0.976,0.188,0.045
affinity,0.224,0.003,0.354,0.981,0.003,0.025
affinity,0.211,0.118,0.897,0.976,0.899,0.979
affinity,1.853,0.62,0.897,0.976,0.188,0.043
