,winDiff,pk,coverage,purity,recall,precision
KMeans,0.351,0.08,0.444,0.934,0.001,0.018
KMeans,0.201,0.108,0.915,0.974,0.915,0.973
KMeans,1.263,0.487,0.915,0.974,0.059,0.018
KMeans,3.486,0.025,0.499,0.963,0.022,0.038
KMeans,0.185,0.105,0.918,0.974,0.918,0.973
KMeans,1.202,0.504,0.918,0.974,0.059,0.019
specteral,0.197,0.095,0.57,0.778,0.001,0.027
specteral,0.142,0.077,0.943,0.974,0.945,0.975
specteral,1.044,0.54,0.943,0.974,0.118,0.054
specteral,0.197,0.095,0.535,0.81,0.001,0.024
specteral,0.16,0.085,0.935,0.974,0.937,0.975
specteral,1.154,0.528,0.935,0.974,0.118,0.048
affinity,0.197,0.095,0.438,0.849,0.001,0.016
affinity,0.219,0.117,0.906,0.974,0.905,0.973
affinity,1.705,0.613,0.906,0.974,0.059,0.016
affinity,0.197,0.095,0.492,0.901,0.001,0.017
affinity,0.191,0.102,0.909,0.974,0.915,0.98
affinity,1.505,0.537,0.909,0.974,0.294,0.085
