,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,0.939,0.381,0.893,0.96,0.32,0.121,4,1
affinity,1.398,0.0,0.79,0.913,0.067,0.068,4,1
affinity,0.13,0.074,0.943,0.96,0.953,0.969,4,1
affinity,0.325,0.219,0.943,0.96,0.28,0.2,4,1
affinity,1.201,0.003,0.77,0.919,0.038,0.065,4,1
affinity,0.146,0.083,0.942,0.96,0.948,0.966,4,1
affinity,0.409,0.298,0.942,0.96,0.2,0.139,4,1
affinity,0.725,0.023,0.733,0.917,0.012,0.048,4,1
affinity,1.799,0.911,0.939,0.96,0.057,0.895,4,1
affinity,0.446,0.323,0.939,0.96,0.16,0.105,4,1
KMeans,1.458,0.006,0.552,0.958,0.014,0.038,5,1
KMeans,0.13,0.069,0.938,0.974,0.946,0.982,5,1
KMeans,0.756,0.414,0.938,0.974,0.353,0.15,5,1
KMeans,0.822,0.018,0.468,0.94,0.019,0.043,5,1
KMeans,0.148,0.077,0.94,0.974,0.943,0.977,5,1
KMeans,0.832,0.483,0.94,0.974,0.176,0.077,5,1
KMeans,0.222,0.064,0.519,0.935,0.01,0.027,5,1
KMeans,1.833,0.923,0.943,0.974,0.055,0.946,5,1
KMeans,0.714,0.437,0.943,0.974,0.118,0.054,5,1
specteral,0.351,0.08,0.482,0.954,0.001,0.018,5,1
specteral,0.194,0.105,0.915,0.974,0.916,0.975,5,1
specteral,1.283,0.469,0.915,0.974,0.118,0.036,5,1
specteral,0.197,0.095,0.487,0.937,0.001,0.019,5,1
specteral,0.182,0.097,0.92,0.974,0.922,0.977,5,1
specteral,1.152,0.487,0.92,0.974,0.176,0.058,5,1
specteral,0.434,0.074,0.453,0.935,0.001,0.018,5,1
specteral,1.775,0.903,0.914,0.974,0.081,0.911,5,1
specteral,1.365,0.544,0.914,0.974,0.294,0.089,5,1
affinity,1.422,0.018,0.535,0.934,0.021,0.06,5,1
affinity,0.117,0.063,0.954,0.974,0.957,0.977,5,1
affinity,0.644,0.434,0.954,0.974,0.176,0.1,5,1
affinity,1.505,0.018,0.481,0.931,0.01,0.039,5,1
affinity,0.13,0.068,0.943,0.974,0.949,0.98,5,1
affinity,0.749,0.485,0.943,0.974,0.294,0.135,5,1
affinity,1.505,0.018,0.479,0.923,0.008,0.032,5,1
affinity,1.827,0.929,0.94,0.974,0.054,0.872,5,1
affinity,0.838,0.49,0.94,0.974,0.294,0.128,5,1
KMeans,0.517,0.049,0.506,0.945,0.005,0.018,6,1
KMeans,0.184,0.102,0.916,0.966,0.921,0.972,6,1
KMeans,0.865,0.47,0.916,0.966,0.227,0.091,6,1
KMeans,0.582,0.024,0.566,0.946,0.006,0.024,6,1
KMeans,0.168,0.092,0.924,0.966,0.93,0.974,6,1
KMeans,0.754,0.414,0.924,0.966,0.273,0.12,6,1
KMeans,0.58,0.025,0.552,0.924,0.064,0.087,6,1
KMeans,1.792,0.92,0.93,0.966,0.06,0.826,6,1
KMeans,0.743,0.456,0.93,0.966,0.364,0.174,6,1
specteral,0.544,0.052,0.476,0.948,0.002,0.015,6,1
specteral,0.196,0.107,0.899,0.966,0.91,0.978,6,1
specteral,1.105,0.498,0.899,0.966,0.409,0.136,6,1
specteral,0.585,0.028,0.44,0.942,0.001,0.013,6,1
specteral,0.257,0.138,0.881,0.966,0.884,0.97,6,1
specteral,1.402,0.53,0.881,0.966,0.227,0.064,6,1
specteral,0.506,0.036,0.445,0.937,0.005,0.014,6,1
specteral,1.709,0.888,0.888,0.966,0.098,0.849,6,1
specteral,1.335,0.536,0.888,0.966,0.5,0.151,6,1
affinity,0.567,0.021,0.606,0.917,0.087,0.104,6,1
affinity,0.138,0.076,0.945,0.966,0.949,0.971,6,1
affinity,0.556,0.352,0.945,0.966,0.182,0.111,6,1
affinity,0.544,0.052,0.564,0.919,0.003,0.022,6,1
affinity,0.159,0.084,0.931,0.966,0.938,0.974,6,1
affinity,0.729,0.414,0.931,0.966,0.273,0.133,6,1
affinity,0.0,0.0,0.583,0.914,0.14,0.145,6,1
affinity,1.798,0.902,0.933,0.966,0.068,0.977,6,1
affinity,0.676,0.403,0.933,0.966,0.045,0.023,6,1
KMeans,0.969,0.01,0.648,0.919,0.005,0.024,7,1
KMeans,0.177,0.103,0.922,0.957,0.928,0.963,7,1
KMeans,0.554,0.319,0.922,0.957,0.208,0.116,7,1
KMeans,0.614,0.028,0.69,0.816,0.058,0.085,7,1
KMeans,0.163,0.085,0.944,0.957,0.949,0.962,7,1
KMeans,0.498,0.339,0.944,0.957,0.167,0.129,7,1
KMeans,0.506,0.024,0.643,0.865,0.01,0.027,7,1
KMeans,1.779,0.908,0.933,0.957,0.06,0.865,7,1
KMeans,0.596,0.394,0.933,0.957,0.208,0.135,7,1
specteral,0.378,0.057,0.558,0.935,0.001,0.018,7,1
specteral,0.213,0.125,0.901,0.957,0.906,0.962,7,1
specteral,0.806,0.44,0.901,0.957,0.208,0.091,7,1
specteral,0.378,0.053,0.549,0.969,0.001,0.016,7,1
specteral,0.224,0.139,0.89,0.957,0.892,0.959,7,1
specteral,0.924,0.436,0.89,0.957,0.167,0.066,7,1
specteral,0.406,0.067,0.556,0.942,0.001,0.016,7,1
specteral,1.682,0.859,0.884,0.957,0.111,0.922,7,1
specteral,1.061,0.453,0.884,0.957,0.208,0.078,7,1
affinity,0.52,0.029,0.704,0.895,0.007,0.031,7,1
affinity,0.148,0.083,0.942,0.957,0.949,0.964,7,1
affinity,0.513,0.361,0.942,0.957,0.208,0.156,7,1
affinity,0.567,0.022,0.682,0.912,0.01,0.029,7,1
affinity,0.116,0.07,0.937,0.957,0.953,0.973,7,1
affinity,0.424,0.298,0.937,0.957,0.417,0.286,7,1
affinity,0.549,0.028,0.709,0.913,0.007,0.029,7,1
affinity,1.79,0.921,0.939,0.957,0.051,0.794,7,1
affinity,0.4,0.293,0.939,0.957,0.292,0.206,7,1
KMeans,0.538,0.031,0.529,0.92,0.041,0.042,1,2
KMeans,0.19,0.105,0.923,0.966,0.923,0.967,1,2
