,winDiff,pk,coverage,purity,recall,precision
KMeans,0.897,0.119,0.401,0.935,0.001,0.02
KMeans,0.185,0.097,0.921,0.983,0.919,0.981
KMeans,2.115,0.493,0.921,0.983,0.0,0.0
KMeans,0.81,0.109,0.38,0.919,0.002,0.023
KMeans,0.156,0.081,0.93,0.983,0.932,0.985
KMeans,1.738,0.602,0.93,0.983,0.182,0.045
specteral,0.599,0.085,0.645,0.8,0.001,0.026
specteral,0.146,0.075,0.94,0.983,0.94,0.983
specteral,1.757,0.451,0.94,0.983,0.091,0.026
specteral,0.607,0.087,0.413,0.797,0.002,0.023
specteral,0.162,0.084,0.93,0.983,0.93,0.983
specteral,2.033,0.601,0.93,0.983,0.091,0.023
affinity,0.604,0.085,0.329,0.884,0.0,0.015
affinity,0.232,0.119,0.892,0.983,0.893,0.984
affinity,2.87,0.601,0.892,0.983,0.182,0.029
affinity,0.599,0.085,0.362,0.878,0.001,0.014
affinity,0.255,0.13,0.887,0.983,0.885,0.98
affinity,3.243,0.612,0.887,0.983,0.0,0.0
