,winDiff,pk,coverage,purity,recall,precision
KMeans,1.988,0.079,0.416,0.956,0.026,0.047
KMeans,0.225,0.122,0.901,0.976,0.899,0.974
KMeans,1.838,0.582,0.901,0.976,0.0,0.0
KMeans,2.238,0.085,0.388,0.946,0.031,0.053
KMeans,0.19,0.101,0.913,0.976,0.916,0.979
KMeans,1.653,0.603,0.913,0.976,0.188,0.051
specteral,0.091,0.018,0.631,0.669,0.005,0.029
specteral,0.137,0.074,0.95,0.976,0.949,0.975
specteral,0.9,0.427,0.95,0.976,0.0,0.0
specteral,0.559,0.018,0.612,0.838,0.031,0.049
specteral,0.149,0.076,0.938,0.976,0.941,0.98
specteral,1.047,0.398,0.938,0.976,0.188,0.071
affinity,0.047,0.026,0.519,0.857,0.003,0.017
affinity,0.196,0.106,0.912,0.976,0.913,0.977
affinity,1.511,0.421,0.912,0.976,0.125,0.033
affinity,0.047,0.026,0.443,0.926,0.002,0.013
affinity,0.234,0.124,0.888,0.976,0.892,0.98
affinity,2.073,0.539,0.888,0.976,0.25,0.053
