,winDiff,pk,coverage,purity,recall,precision
KMeans,0.556,0.092,0.541,0.958,0.021,0.037
KMeans,0.181,0.101,0.913,0.969,0.919,0.975
KMeans,1.036,0.452,0.913,0.969,0.278,0.1
KMeans,0.556,0.092,0.527,0.92,0.023,0.041
KMeans,0.191,0.099,0.919,0.969,0.923,0.974
KMeans,0.963,0.461,0.919,0.969,0.222,0.085
specteral,0.514,0.086,0.568,0.896,0.03,0.043
specteral,0.153,0.08,0.934,0.969,0.941,0.976
specteral,0.822,0.482,0.934,0.969,0.278,0.132
specteral,0.556,0.092,0.575,0.875,0.031,0.044
specteral,0.16,0.085,0.939,0.969,0.941,0.97
specteral,0.779,0.495,0.939,0.969,0.111,0.057
affinity,0.566,0.094,0.463,0.948,0.019,0.035
affinity,0.174,0.095,0.905,0.969,0.918,0.983
affinity,1.214,0.514,0.905,0.969,0.5,0.164
affinity,0.64,0.113,0.489,0.957,0.011,0.018
affinity,0.222,0.121,0.903,0.969,0.903,0.969
affinity,1.157,0.482,0.903,0.969,0.111,0.036
