,winDiff,pk,coverage,purity,recall,precision
KMeans,0.742,0.022,0.544,0.922,0.016,0.038
KMeans,0.213,0.125,0.913,0.958,0.911,0.956
KMeans,0.758,0.475,0.913,0.958,0.043,0.021
KMeans,0.887,0.022,0.582,0.918,0.004,0.023
KMeans,0.173,0.093,0.92,0.958,0.932,0.97
KMeans,0.639,0.432,0.92,0.958,0.348,0.182
specteral,0.665,0.004,0.665,0.845,0.106,0.113
specteral,0.151,0.087,0.947,0.958,0.949,0.96
specteral,0.509,0.417,0.947,0.958,0.087,0.069
specteral,1.713,0.011,0.698,0.86,0.191,0.204
specteral,0.155,0.089,0.949,0.958,0.949,0.958
specteral,0.509,0.391,0.949,0.958,0.043,0.036
affinity,0.375,0.004,0.564,0.925,0.024,0.04
affinity,0.188,0.105,0.918,0.958,0.924,0.964
affinity,0.68,0.443,0.918,0.958,0.217,0.111
affinity,0.625,0.025,0.516,0.947,0.008,0.019
affinity,0.191,0.111,0.905,0.958,0.915,0.968
affinity,0.786,0.46,0.905,0.958,0.304,0.135
