,winDiff,pk,coverage,purity,recall,precision
KMeans,0.614,0.072,0.557,0.917,0.009,0.014
KMeans,0.16,0.088,0.927,0.976,0.929,0.979
KMeans,1.192,0.385,0.927,0.976,0.174,0.056
KMeans,0.373,0.037,0.566,0.937,0.02,0.026
KMeans,0.14,0.081,0.932,0.976,0.936,0.98
KMeans,1.092,0.387,0.932,0.976,0.217,0.076
specteral,0.573,0.07,0.8,0.572,0.003,0.034
specteral,0.086,0.045,0.97,0.976,0.974,0.98
specteral,0.741,0.409,0.97,0.976,0.174,0.138
specteral,0.645,0.075,0.721,0.625,0.013,0.024
specteral,0.119,0.064,0.958,0.976,0.958,0.976
specteral,0.893,0.425,0.958,0.976,0.043,0.024
affinity,0.562,0.068,0.538,0.811,0.001,0.011
affinity,0.214,0.11,0.903,0.976,0.906,0.98
affinity,1.78,0.401,0.903,0.976,0.217,0.053
affinity,0.562,0.068,0.484,0.874,0.001,0.009
affinity,0.239,0.126,0.887,0.976,0.889,0.979
affinity,2.054,0.424,0.887,0.976,0.217,0.045
