,winDiff,pk,coverage,purity,recall,precision
KMeans,0.272,0.0,0.701,0.895,0.069,0.062
KMeans,0.178,0.102,0.929,0.96,0.931,0.962
KMeans,0.525,0.333,0.929,0.96,0.12,0.068
KMeans,4.515,0.103,0.71,0.883,0.047,0.077
KMeans,0.159,0.094,0.937,0.96,0.939,0.962
KMeans,0.518,0.349,0.937,0.96,0.12,0.077
specteral,1.576,0.071,0.809,0.824,0.068,0.09
specteral,0.139,0.074,0.95,0.96,0.956,0.966
specteral,0.449,0.31,0.95,0.96,0.2,0.161
specteral,1.113,0.006,0.803,0.885,0.048,0.069
specteral,0.159,0.087,0.95,0.96,0.949,0.959
specteral,0.414,0.303,0.95,0.96,0.04,0.032
affinity,0.524,0.039,0.68,0.927,0.002,0.032
affinity,0.165,0.095,0.919,0.96,0.929,0.97
affinity,0.597,0.313,0.919,0.96,0.32,0.16
affinity,0.725,0.023,0.699,0.943,0.006,0.031
affinity,0.159,0.089,0.916,0.96,0.931,0.975
affinity,0.62,0.293,0.916,0.96,0.44,0.212
