,winDiff,pk,coverage,purity,recall,precision
KMeans,0.51,0.047,0.486,0.931,0.005,0.016
KMeans,0.214,0.115,0.904,0.966,0.908,0.971
KMeans,1.077,0.494,0.904,0.966,0.227,0.079
KMeans,0.552,0.051,0.518,0.92,0.012,0.031
KMeans,0.196,0.11,0.917,0.966,0.918,0.967
KMeans,0.851,0.464,0.917,0.966,0.091,0.037
specteral,0.502,0.027,0.573,0.907,0.121,0.131
specteral,0.147,0.084,0.943,0.966,0.945,0.968
specteral,0.576,0.414,0.943,0.966,0.091,0.054
specteral,0.555,0.019,0.581,0.905,0.059,0.074
specteral,0.15,0.08,0.942,0.966,0.946,0.971
specteral,0.617,0.394,0.942,0.966,0.182,0.105
affinity,0.561,0.041,0.497,0.931,0.002,0.019
affinity,0.187,0.101,0.917,0.966,0.922,0.972
affinity,0.859,0.498,0.917,0.966,0.227,0.093
affinity,0.552,0.051,0.466,0.954,0.001,0.014
affinity,0.242,0.13,0.894,0.966,0.896,0.968
affinity,1.174,0.472,0.894,0.966,0.136,0.043
