,winDiff,pk,coverage,purity,recall,precision
KMeans,0.629,0.112,0.523,0.825,0.012,0.019
KMeans,0.208,0.107,0.906,0.969,0.912,0.975
KMeans,1.36,0.52,0.906,0.969,0.278,0.093
KMeans,0.462,0.077,0.49,0.894,0.023,0.03
KMeans,0.201,0.106,0.908,0.969,0.914,0.975
KMeans,1.257,0.521,0.908,0.969,0.278,0.094
specteral,0.629,0.112,0.728,0.593,0.023,0.034
specteral,0.139,0.075,0.95,0.969,0.952,0.971
specteral,0.923,0.488,0.95,0.969,0.111,0.069
specteral,0.64,0.113,0.608,0.804,0.015,0.024
specteral,0.17,0.092,0.929,0.969,0.932,0.972
specteral,0.986,0.452,0.929,0.969,0.167,0.073
affinity,0.64,0.119,0.584,0.818,0.003,0.021
affinity,0.194,0.102,0.919,0.969,0.921,0.972
affinity,1.086,0.436,0.919,0.969,0.167,0.064
affinity,0.64,0.113,0.522,0.815,0.011,0.018
affinity,0.219,0.121,0.903,0.969,0.903,0.969
affinity,1.458,0.559,0.903,0.969,0.111,0.036
