,winDiff,pk,coverage,purity,recall,precision
KMeans,1.252,0.082,0.604,0.89,0.054,0.061
KMeans,0.199,0.108,0.925,0.959,0.926,0.96
KMeans,0.7,0.467,0.925,0.959,0.095,0.053
KMeans,0.906,0.082,0.594,0.9,0.034,0.037
KMeans,0.203,0.11,0.919,0.959,0.922,0.961
KMeans,0.726,0.433,0.919,0.959,0.143,0.073
specteral,1.543,0.094,0.724,0.876,0.075,0.079
specteral,0.148,0.089,0.945,0.959,0.947,0.96
specteral,0.45,0.348,0.945,0.959,0.095,0.071
specteral,1.673,0.098,0.726,0.884,0.238,0.277
specteral,0.16,0.083,0.947,0.959,0.951,0.963
specteral,0.468,0.378,0.947,0.959,0.143,0.111
affinity,0.083,0.012,0.583,0.947,0.056,0.068
affinity,0.215,0.126,0.907,0.959,0.908,0.959
affinity,0.776,0.412,0.907,0.959,0.095,0.043
affinity,0.055,0.008,0.581,0.945,0.06,0.072
affinity,0.191,0.114,0.911,0.959,0.916,0.963
affinity,0.762,0.435,0.911,0.959,0.19,0.089
