,winDiff,pk,coverage,purity,recall,precision
KMeans,0.445,0.043,0.559,0.841,0.04,0.044
KMeans,0.211,0.116,0.902,0.959,0.91,0.967
KMeans,0.97,0.463,0.902,0.959,0.286,0.12
KMeans,1.543,0.094,0.632,0.896,0.028,0.053
KMeans,0.195,0.108,0.913,0.959,0.92,0.966
KMeans,0.821,0.39,0.913,0.959,0.238,0.114
specteral,0.043,0.008,0.72,0.675,0.085,0.078
specteral,0.176,0.1,0.941,0.959,0.938,0.956
specteral,0.752,0.449,0.941,0.959,0.0,0.0
specteral,0.055,0.012,0.667,0.707,0.042,0.055
specteral,0.164,0.089,0.937,0.959,0.943,0.964
specteral,0.663,0.445,0.937,0.959,0.19,0.125
affinity,0.031,0.004,0.594,0.732,0.039,0.051
affinity,0.215,0.116,0.909,0.959,0.914,0.963
affinity,1.113,0.531,0.909,0.959,0.19,0.087
affinity,0.031,0.004,0.567,0.819,0.036,0.047
affinity,0.223,0.124,0.902,0.959,0.906,0.963
affinity,1.093,0.543,0.902,0.959,0.19,0.08
