,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,0.117,0.06,0.96,0.974,0.962,0.976,5,1
KMeans,0.679,0.439,0.96,0.974,0.118,0.077,5,1
KMeans,0.547,0.054,0.598,0.924,0.002,0.023,6,1
KMeans,0.144,0.076,0.933,0.966,0.943,0.977,6,1
KMeans,0.671,0.377,0.933,0.966,0.364,0.182,6,1
KMeans,0.345,0.022,0.595,0.865,0.062,0.066,6,1
KMeans,0.156,0.084,0.94,0.966,0.943,0.969,6,1
KMeans,0.714,0.434,0.94,0.966,0.136,0.077,6,1
KMeans,0.558,0.043,0.602,0.899,0.057,0.095,6,1
KMeans,0.144,0.08,0.945,0.966,0.948,0.969,6,1
KMeans,0.56,0.383,0.945,0.966,0.136,0.083,6,1
specteral,0.77,0.016,0.671,0.887,0.084,0.122,6,1
specteral,0.15,0.081,0.946,0.966,0.948,0.968,6,1
specteral,0.603,0.402,0.946,0.966,0.091,0.057,6,1
specteral,0.813,0.017,0.668,0.875,0.097,0.153,6,1
specteral,0.126,0.07,0.957,0.966,0.959,0.968,6,1
specteral,0.57,0.38,0.957,0.966,0.091,0.071,6,1
specteral,0.775,0.016,0.654,0.769,0.063,0.099,6,1
specteral,0.116,0.063,0.959,0.966,0.964,0.971,6,1
specteral,0.632,0.42,0.959,0.966,0.182,0.148,6,1
affinity,1.407,0.076,0.72,0.81,0.047,0.03,6,1
affinity,0.11,0.06,0.971,0.966,0.972,0.967,6,1
affinity,0.482,0.341,0.971,0.966,0.045,0.053,6,1
affinity,0.585,0.025,0.769,0.82,0.146,0.156,6,1
affinity,0.098,0.06,0.968,0.966,0.97,0.968,6,1
affinity,0.401,0.258,0.968,0.966,0.091,0.095,6,1
affinity,0.189,0.008,0.737,0.821,0.498,0.419,6,1
affinity,0.107,0.066,0.965,0.966,0.965,0.967,6,1
affinity,0.441,0.28,0.965,0.966,0.045,0.043,6,1
KMeans,0.467,0.028,0.709,0.856,0.015,0.04,7,1
KMeans,0.17,0.09,0.946,0.957,0.947,0.958,7,1
KMeans,0.507,0.352,0.946,0.957,0.083,0.067,7,1
KMeans,0.445,0.026,0.747,0.782,0.124,0.105,7,1
KMeans,0.127,0.069,0.96,0.957,0.966,0.962,7,1
KMeans,0.472,0.361,0.96,0.957,0.167,0.182,7,1
KMeans,0.384,0.029,0.715,0.8,0.019,0.046,7,1
KMeans,0.148,0.079,0.953,0.957,0.957,0.96,7,1
KMeans,0.531,0.394,0.953,0.957,0.125,0.115,7,1
specteral,5.258,0.104,0.738,0.742,0.17,0.127,7,1
specteral,0.148,0.078,0.962,0.957,0.962,0.957,7,1
specteral,0.592,0.471,0.962,0.957,0.042,0.048,7,1
specteral,1.557,0.026,0.809,0.755,0.205,0.17,7,1
specteral,0.148,0.079,0.964,0.957,0.962,0.955,7,1
specteral,0.574,0.448,0.964,0.957,0.0,0.0,7,1
specteral,1.815,0.028,0.807,0.706,0.185,0.139,7,1
specteral,0.145,0.076,0.968,0.957,0.966,0.955,7,1
specteral,0.572,0.44,0.968,0.957,0.0,0.0,7,1
affinity,2.49,0.055,0.791,0.648,0.073,0.045,7,1
affinity,0.108,0.058,0.975,0.957,0.979,0.961,7,1
affinity,0.585,0.466,0.975,0.957,0.125,0.214,7,1
affinity,0.423,0.018,0.809,0.735,0.224,0.206,7,1
affinity,0.123,0.061,0.968,0.957,0.974,0.963,7,1
affinity,0.45,0.346,0.968,0.957,0.167,0.222,7,1
affinity,0.949,0.002,0.83,0.789,0.304,0.262,7,1
affinity,0.112,0.063,0.966,0.957,0.972,0.963,7,1
affinity,0.382,0.271,0.966,0.957,0.167,0.211,7,1
KMeans,1.385,0.061,0.615,0.889,0.063,0.057,1,2
KMeans,0.15,0.08,0.945,0.966,0.947,0.969,1,2
KMeans,0.628,0.43,0.945,0.966,0.136,0.083,1,2
KMeans,2.868,0.101,0.676,0.889,0.032,0.056,1,2
KMeans,0.14,0.076,0.949,0.966,0.952,0.969,1,2
KMeans,0.584,0.37,0.949,0.966,0.136,0.091,1,2
KMeans,3.049,0.104,0.664,0.929,0.03,0.055,1,2
KMeans,0.144,0.082,0.946,0.966,0.947,0.967,1,2
KMeans,0.535,0.357,0.946,0.966,0.091,0.057,1,2
specteral,2.843,0.095,0.686,0.854,0.053,0.075,1,2
specteral,0.116,0.066,0.958,0.966,0.962,0.969,1,2
specteral,0.509,0.343,0.958,0.966,0.136,0.111,1,2
specteral,1.32,0.058,0.63,0.829,0.077,0.076,1,2
specteral,0.131,0.072,0.958,0.966,0.959,0.966,1,2
specteral,0.588,0.477,0.958,0.966,0.045,0.037,1,2
specteral,2.978,0.098,0.649,0.838,0.055,0.07,1,2
specteral,0.134,0.069,0.955,0.966,0.959,0.969,1,2
specteral,0.55,0.411,0.955,0.966,0.136,0.103,1,2
affinity,0.695,0.077,0.854,0.781,0.194,0.149,1,2
affinity,0.088,0.054,0.977,0.966,0.978,0.967,1,2
affinity,0.405,0.315,0.977,0.966,0.045,0.067,1,2
affinity,3.714,0.113,0.716,0.88,0.061,0.084,1,2
affinity,0.113,0.068,0.963,0.966,0.963,0.966,1,2
affinity,0.454,0.367,0.963,0.966,0.045,0.042,1,2
affinity,2.108,0.077,0.713,0.838,0.056,0.081,1,2
affinity,0.125,0.069,0.961,0.966,0.962,0.966,1,2
affinity,0.533,0.428,0.961,0.966,0.045,0.04,1,2
KMeans,2.138,0.079,0.469,0.944,0.075,0.101,2,2
KMeans,0.155,0.082,0.935,0.976,0.937,0.978,2,2
KMeans,1.123,0.539,0.935,0.976,0.125,0.045,2,2
KMeans,1.647,0.059,0.468,0.915,0.044,0.052,2,2
KMeans,0.143,0.075,0.94,0.976,0.943,0.98,2,2
KMeans,1.118,0.609,0.94,0.976,0.188,0.073,2,2
KMeans,2.553,0.091,0.522,0.951,0.058,0.077,2,2
KMeans,0.143,0.075,0.946,0.976,0.946,0.977,2,2
KMeans,0.889,0.509,0.946,0.976,0.062,0.027,2,2
specteral,3.179,0.109,0.5,0.925,0.027,0.043,2,2
specteral,0.134,0.069,0.943,0.976,0.947,0.981,2,2
specteral,1.032,0.532,0.943,0.976,0.25,0.103,2,2
specteral,3.179,0.109,0.45,0.924,0.072,0.115,2,2
specteral,0.122,0.063,0.949,0.976,0.953,0.981,2,2
specteral,0.874,0.529,0.949,0.976,0.25,0.114,2,2
specteral,3.647,0.117,0.565,0.916,0.095,0.083,2,2
specteral,0.116,0.065,0.953,0.976,0.955,0.978,2,2
specteral,0.882,0.473,0.953,0.976,0.125,0.062,2,2
affinity,5.094,0.152,0.587,0.879,0.065,0.072,2,2
