,winDiff,pk,coverage,purity,recall,precision,season,episode
affinity,0.123,0.061,0.809,0.735,0.974,0.963,1,7
affinity,0.112,0.063,0.83,0.789,0.972,0.963,1,7
affinity,0.123,0.065,0.819,0.816,0.97,0.963,1,7
affinity,0.119,0.069,0.7,0.881,0.957,0.971,1,7
affinity,1.797,0.913,0.699,0.857,0.053,0.875,1,7
KMeans,0.15,0.08,0.615,0.889,0.947,0.969,2,1
KMeans,0.14,0.076,0.676,0.889,0.952,0.969,2,1
KMeans,0.144,0.082,0.664,0.929,0.947,0.967,2,1
KMeans,0.196,0.112,0.545,0.924,0.915,0.966,2,1
KMeans,0.193,0.106,0.547,0.926,0.922,0.967,2,1
KMeans,1.767,0.894,0.513,0.901,0.081,0.927,2,1
specteral,0.116,0.066,0.686,0.854,0.962,0.969,2,1
specteral,0.131,0.072,0.63,0.829,0.959,0.966,2,1
specteral,0.134,0.069,0.649,0.838,0.959,0.969,2,1
specteral,0.245,0.129,0.45,0.958,0.89,0.974,2,1
specteral,0.23,0.125,0.45,0.943,0.896,0.972,2,1
specteral,1.718,0.866,0.482,0.94,0.108,0.958,2,1
affinity,0.088,0.054,0.854,0.781,0.978,0.967,2,1
affinity,0.113,0.068,0.716,0.88,0.963,0.966,2,1
affinity,0.125,0.069,0.713,0.838,0.962,0.966,2,1
affinity,0.122,0.072,0.698,0.863,0.959,0.966,2,1
affinity,0.14,0.08,0.635,0.924,0.946,0.971,2,1
affinity,1.804,0.914,0.622,0.914,0.061,0.905,2,1
KMeans,0.155,0.082,0.469,0.944,0.937,0.978,2,2
KMeans,0.143,0.075,0.468,0.915,0.943,0.98,2,2
KMeans,0.143,0.075,0.522,0.951,0.946,0.977,2,2
KMeans,0.193,0.104,0.347,0.974,0.911,0.981,2,2
KMeans,0.202,0.11,0.394,0.956,0.908,0.977,2,2
KMeans,1.792,0.903,0.388,0.949,0.08,0.946,2,2
specteral,0.134,0.069,0.5,0.925,0.947,0.981,2,2
specteral,0.122,0.063,0.45,0.924,0.953,0.981,2,2
specteral,0.116,0.065,0.565,0.916,0.955,0.978,2,2
specteral,0.281,0.153,0.297,0.972,0.861,0.979,2,2
specteral,0.284,0.157,0.299,0.982,0.858,0.978,2,2
specteral,1.692,0.865,0.337,0.975,0.125,0.922,2,2
affinity,0.09,0.047,0.587,0.879,0.973,0.979,2,2
affinity,0.099,0.05,0.554,0.929,0.968,0.98,2,2
affinity,0.099,0.051,0.566,0.944,0.965,0.982,2,2
affinity,0.131,0.069,0.54,0.926,0.95,0.978,2,2
affinity,0.146,0.076,0.447,0.956,0.941,0.98,2,2
affinity,1.825,0.922,0.45,0.95,0.062,0.911,2,2
KMeans,0.152,0.079,0.764,0.844,0.957,0.961,2,3
KMeans,0.152,0.086,0.767,0.873,0.951,0.959,2,3
KMeans,0.145,0.082,0.748,0.835,0.955,0.959,2,3
KMeans,0.203,0.113,0.633,0.88,0.923,0.957,2,3
KMeans,0.167,0.088,0.669,0.86,0.944,0.964,2,3
KMeans,1.78,0.902,0.628,0.886,0.065,0.897,2,3
specteral,0.138,0.079,0.737,0.769,0.961,0.957,2,3
specteral,0.145,0.075,0.757,0.671,0.964,0.957,2,3
specteral,0.134,0.077,0.733,0.75,0.961,0.959,2,3
specteral,0.213,0.118,0.538,0.918,0.907,0.968,2,3
specteral,0.224,0.114,0.581,0.905,0.91,0.968,2,3
specteral,1.744,0.889,0.623,0.852,0.08,0.896,2,3
affinity,0.102,0.057,0.891,0.728,0.979,0.961,2,3
affinity,0.138,0.077,0.791,0.801,0.963,0.957,2,3
affinity,0.102,0.061,0.903,0.873,0.972,0.965,2,3
affinity,0.116,0.068,0.823,0.814,0.966,0.963,2,3
affinity,0.163,0.091,0.767,0.889,0.944,0.96,2,3
affinity,1.787,0.909,0.68,0.918,0.06,0.865,2,3
KMeans,0.176,0.093,0.661,0.823,0.945,0.958,2,4
KMeans,0.16,0.089,0.648,0.821,0.947,0.96,2,4
KMeans,0.124,0.073,0.697,0.811,0.961,0.963,2,4
KMeans,0.219,0.122,0.528,0.878,0.914,0.957,2,4
KMeans,0.199,0.118,0.606,0.888,0.918,0.957,2,4
KMeans,1.793,0.9,0.652,0.864,0.064,0.969,2,4
specteral,0.132,0.083,0.793,0.821,0.957,0.957,2,4
specteral,0.136,0.073,0.821,0.719,0.967,0.957,2,4
specteral,0.14,0.075,0.801,0.764,0.963,0.959,2,4
specteral,0.227,0.132,0.563,0.937,0.897,0.963,2,4
specteral,0.262,0.15,0.502,0.937,0.883,0.958,2,4
specteral,1.698,0.86,0.494,0.943,0.109,0.946,2,4
affinity,0.136,0.073,0.789,0.772,0.967,0.957,2,4
affinity,0.132,0.073,0.766,0.76,0.965,0.959,2,4
affinity,0.136,0.073,0.752,0.787,0.963,0.961,2,4
affinity,0.148,0.087,0.663,0.886,0.947,0.962,2,4
affinity,0.16,0.085,0.65,0.876,0.947,0.964,2,4
affinity,1.785,0.907,0.614,0.906,0.062,0.882,2,4
KMeans,0.148,0.084,0.684,0.88,0.949,0.963,2,5
KMeans,0.155,0.08,0.676,0.816,0.954,0.962,2,5
KMeans,0.137,0.075,0.685,0.887,0.954,0.967,2,5
KMeans,0.202,0.109,0.58,0.922,0.92,0.964,2,5
KMeans,0.184,0.1,0.631,0.915,0.93,0.965,2,5
KMeans,1.772,0.891,0.602,0.876,0.074,0.951,2,5
specteral,0.151,0.085,0.704,0.796,0.951,0.96,2,5
specteral,0.129,0.069,0.765,0.727,0.966,0.962,2,5
specteral,0.137,0.071,0.751,0.798,0.964,0.962,2,5
specteral,0.246,0.133,0.509,0.958,0.892,0.967,2,5
specteral,0.246,0.135,0.507,0.909,0.894,0.963,2,5
specteral,1.692,0.865,0.502,0.942,0.108,0.905,2,5
affinity,0.118,0.062,0.845,0.771,0.975,0.961,2,5
affinity,0.126,0.073,0.76,0.871,0.962,0.962,2,5
affinity,0.129,0.073,0.805,0.851,0.964,0.96,2,5
affinity,0.137,0.078,0.742,0.829,0.958,0.96,2,5
affinity,0.155,0.084,0.671,0.915,0.945,0.967,2,5
affinity,1.794,0.905,0.605,0.889,0.061,0.914,2,5
KMeans,0.157,0.085,0.679,0.832,0.949,0.962,2,6
KMeans,0.119,0.074,0.767,0.83,0.961,0.963,2,6
KMeans,0.142,0.076,0.694,0.847,0.959,0.962,2,6
KMeans,0.188,0.104,0.62,0.932,0.925,0.965,2,6
KMeans,0.165,0.096,0.575,0.932,0.931,0.967,2,6
KMeans,1.786,0.904,0.599,0.892,0.065,0.917,2,6
specteral,0.119,0.062,0.76,0.807,0.969,0.967,2,6
specteral,0.123,0.062,0.756,0.792,0.97,0.965,2,6
specteral,0.134,0.07,0.707,0.773,0.963,0.964,2,6
specteral,0.214,0.121,0.588,0.945,0.904,0.968,2,6
specteral,0.229,0.129,0.59,0.949,0.898,0.966,2,6
specteral,1.714,0.868,0.541,0.928,0.102,0.945,2,6
affinity,0.081,0.045,0.913,0.686,0.986,0.967,2,6
affinity,0.108,0.064,0.837,0.836,0.97,0.963,2,6
affinity,0.123,0.072,0.813,0.796,0.967,0.959,2,6
affinity,0.108,0.064,0.796,0.762,0.969,0.965,2,6
affinity,0.15,0.087,0.703,0.911,0.945,0.964,2,6
affinity,1.82,0.924,0.735,0.858,0.045,0.852,2,6
KMeans,0.163,0.088,0.69,0.822,0.95,0.958,2,7
KMeans,0.151,0.08,0.765,0.841,0.956,0.96,2,7
KMeans,0.144,0.078,0.753,0.845,0.956,0.962,2,7
KMeans,0.201,0.109,0.591,0.87,0.924,0.961,2,7
KMeans,0.193,0.103,0.593,0.857,0.93,0.961,2,7
KMeans,1.776,0.902,0.66,0.908,0.066,0.892,2,7
KMeans,0.135,0.07,0.707,0.818,0.959,0.967,2,8
KMeans,0.155,0.088,0.689,0.805,0.949,0.959,2,8
KMeans,0.151,0.082,0.73,0.805,0.955,0.959,2,8
KMeans,0.213,0.115,0.584,0.912,0.916,0.961,2,8
KMeans,0.17,0.1,0.604,0.924,0.929,0.966,2,8
KMeans,1.736,0.875,0.576,0.891,0.09,0.957,2,8
specteral,0.115,0.061,0.75,0.773,0.973,0.964,2,8
specteral,0.131,0.068,0.795,0.701,0.971,0.958,2,8
specteral,0.135,0.076,0.809,0.801,0.965,0.956,2,8
specteral,0.233,0.131,0.561,0.926,0.898,0.963,2,8
specteral,0.245,0.141,0.535,0.912,0.892,0.958,2,8
specteral,1.693,0.869,0.482,0.908,0.104,0.895,2,8
affinity,0.112,0.059,0.832,0.701,0.98,0.96,2,8
affinity,0.115,0.061,0.787,0.805,0.973,0.964,2,8
affinity,0.147,0.076,0.707,0.758,0.963,0.957,2,8
affinity,0.127,0.064,0.781,0.793,0.969,0.963,2,8
affinity,0.147,0.078,0.719,0.869,0.953,0.965,2,8
affinity,1.822,0.93,0.729,0.844,0.039,0.792,2,8
KMeans,0.166,0.089,0.761,0.824,0.949,0.957,2,9
KMeans,0.166,0.089,0.747,0.809,0.947,0.958,2,9
KMeans,0.152,0.082,0.807,0.809,0.957,0.957,2,9
KMeans,0.195,0.107,0.67,0.82,0.932,0.954,2,9
KMeans,0.191,0.103,0.745,0.832,0.94,0.951,2,9
KMeans,1.759,0.897,0.704,0.863,0.066,0.875,2,9
KMeans,0.194,0.119,0.713,0.823,0.932,0.941,2,10
KMeans,0.181,0.102,0.734,0.76,0.948,0.944,2,10
KMeans,0.139,0.081,0.809,0.834,0.959,0.955,2,10
KMeans,0.245,0.136,0.594,0.866,0.907,0.946,2,10
KMeans,0.232,0.136,0.63,0.866,0.91,0.944,2,10
KMeans,1.695,0.868,0.651,0.87,0.09,0.889,2,10
specteral,0.156,0.081,0.826,0.609,0.971,0.945,2,10
specteral,0.147,0.081,0.887,0.634,0.971,0.945,2,10
specteral,0.16,0.085,0.866,0.602,0.971,0.941,2,10
specteral,0.254,0.143,0.568,0.921,0.889,0.956,2,10
specteral,0.258,0.147,0.604,0.906,0.896,0.945,2,10
specteral,1.635,0.857,0.572,0.938,0.113,0.833,2,10
affinity,0.13,0.077,0.9,0.715,0.973,0.947,2,10
affinity,0.151,0.079,0.883,0.721,0.971,0.947,2,10
affinity,0.16,0.087,0.9,0.77,0.964,0.945,2,10
affinity,0.164,0.091,0.804,0.821,0.955,0.948,2,10
affinity,0.168,0.089,0.755,0.794,0.95,0.955,2,10
affinity,1.755,0.894,0.736,0.851,0.061,0.871,2,10
KMeans,0.165,0.088,0.726,0.859,0.949,0.958,2,11
KMeans,0.175,0.097,0.711,0.861,0.945,0.952,2,11
KMeans,0.15,0.088,0.681,0.839,0.947,0.96,2,11
KMeans,0.222,0.123,0.621,0.901,0.919,0.951,2,11
KMeans,0.197,0.116,0.625,0.879,0.922,0.955,2,11
KMeans,1.741,0.881,0.625,0.892,0.081,0.935,2,11
KMeans,0.167,0.096,0.698,0.87,0.941,0.957,2,12
KMeans,0.17,0.098,0.668,0.881,0.939,0.957,2,12
KMeans,0.178,0.093,0.675,0.853,0.943,0.959,2,12
KMeans,0.202,0.121,0.57,0.911,0.913,0.958,2,12
KMeans,0.199,0.107,0.644,0.923,0.924,0.962,2,12
KMeans,1.735,0.895,0.565,0.916,0.076,0.837,2,12
specteral,0.128,0.067,0.789,0.796,0.969,0.962,2,12
specteral,0.146,0.077,0.744,0.719,0.965,0.954,2,12
specteral,0.146,0.075,0.786,0.775,0.965,0.956,2,12
specteral,0.237,0.137,0.553,0.94,0.891,0.962,2,12
specteral,0.241,0.14,0.553,0.946,0.891,0.958,2,12
specteral,1.703,0.879,0.582,0.93,0.092,0.862,2,12
affinity,0.121,0.068,0.835,0.693,0.974,0.955,2,12
affinity,0.135,0.072,0.782,0.77,0.967,0.958,2,12
affinity,0.135,0.077,0.735,0.804,0.963,0.956,2,12
affinity,0.128,0.068,0.77,0.832,0.965,0.963,2,12
affinity,0.195,0.1,0.584,0.86,0.934,0.96,2,12
affinity,1.78,0.9,0.682,0.837,0.061,0.917,2,12
KMeans,0.205,0.12,0.652,0.821,0.93,0.942,2,13
KMeans,0.2,0.111,0.697,0.812,0.937,0.945,2,13
KMeans,0.192,0.103,0.691,0.819,0.943,0.947,2,13
KMeans,0.233,0.138,0.602,0.915,0.904,0.947,2,13
KMeans,0.25,0.136,0.619,0.878,0.91,0.943,2,13
KMeans,1.721,0.882,0.637,0.852,0.079,0.857,2,13
specteral,0.192,0.101,0.771,0.767,0.95,0.944,2,13
specteral,0.171,0.095,0.847,0.652,0.959,0.942,2,13
specteral,0.167,0.093,0.823,0.74,0.959,0.944,2,13
specteral,0.308,0.175,0.474,0.922,0.86,0.949,2,13
specteral,0.271,0.148,0.528,0.897,0.889,0.951,2,13
specteral,1.61,0.816,0.487,0.897,0.142,0.956,2,13
affinity,0.155,0.078,0.825,0.606,0.974,0.945,2,13
affinity,0.163,0.091,0.854,0.796,0.963,0.942,2,13
affinity,0.151,0.085,0.814,0.687,0.967,0.945,2,13
affinity,0.151,0.085,0.784,0.8,0.959,0.952,2,13
affinity,0.205,0.113,0.691,0.868,0.932,0.947,2,13
affinity,1.779,0.891,0.703,0.812,0.059,0.964,2,13
