,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,0.671,0.348,0.957,0.966,0.136,0.107,6,1
specteral,0.544,0.052,0.68,0.794,0.002,0.02,6,1
specteral,0.187,0.099,0.925,0.966,0.927,0.969,6,1
specteral,0.991,0.372,0.925,0.966,0.136,0.061,6,1
affinity,0.544,0.055,0.737,0.708,0.003,0.038,6,1
affinity,0.126,0.067,0.96,0.966,0.962,0.968,6,1
affinity,0.615,0.386,0.96,0.966,0.091,0.077,6,1
affinity,0.548,0.052,0.746,0.717,0.047,0.052,6,1
affinity,0.11,0.066,0.965,0.966,0.965,0.967,6,1
affinity,0.487,0.342,0.965,0.966,0.045,0.043,6,1
KMeans,0.467,0.028,0.731,0.762,0.071,0.056,7,1
KMeans,0.119,0.063,0.958,0.957,0.968,0.966,7,1
KMeans,0.539,0.411,0.958,0.957,0.25,0.261,7,1
KMeans,1.762,0.028,0.778,0.736,0.175,0.171,7,1
KMeans,0.145,0.079,0.96,0.957,0.96,0.957,7,1
KMeans,0.461,0.365,0.96,0.957,0.042,0.045,7,1
specteral,0.406,0.067,0.785,0.415,0.002,0.031,7,1
specteral,0.184,0.097,0.942,0.957,0.942,0.956,7,1
specteral,0.982,0.512,0.942,0.957,0.042,0.031,7,1
specteral,0.406,0.067,0.751,0.634,0.002,0.027,7,1
specteral,0.188,0.106,0.933,0.957,0.932,0.956,7,1
specteral,0.817,0.425,0.933,0.957,0.042,0.027,7,1
affinity,0.492,0.031,0.796,0.567,0.049,0.041,7,1
affinity,0.127,0.069,0.968,0.957,0.97,0.959,7,1
affinity,0.607,0.449,0.968,0.957,0.083,0.111,7,1
affinity,0.567,0.022,0.792,0.646,0.095,0.053,7,1
affinity,0.134,0.072,0.964,0.957,0.966,0.959,7,1
affinity,0.526,0.403,0.964,0.957,0.083,0.1,7,1
KMeans,2.455,0.117,0.633,0.857,0.036,0.041,1,2
KMeans,0.159,0.085,0.949,0.966,0.947,0.964,1,2
KMeans,0.683,0.477,0.949,0.966,0.0,0.0,1,2
KMeans,3.378,0.11,0.639,0.812,0.079,0.072,1,2
KMeans,0.131,0.071,0.957,0.966,0.959,0.968,1,2
KMeans,0.587,0.46,0.957,0.966,0.091,0.071,1,2
specteral,0.043,0.021,0.713,0.508,0.005,0.027,1,2
specteral,0.168,0.088,0.943,0.966,0.943,0.966,1,2
specteral,1.123,0.602,0.943,0.966,0.045,0.027,1,2
specteral,0.102,0.009,0.646,0.672,0.005,0.02,1,2
specteral,0.19,0.099,0.923,0.966,0.927,0.97,1,2
specteral,1.125,0.49,0.923,0.966,0.182,0.08,1,2
affinity,0.071,0.015,0.707,0.629,0.006,0.036,1,2
affinity,0.137,0.071,0.957,0.966,0.959,0.968,1,2
affinity,0.776,0.513,0.957,0.966,0.091,0.071,1,2
affinity,0.071,0.015,0.703,0.738,0.006,0.036,1,2
affinity,0.14,0.074,0.957,0.966,0.957,0.966,1,2
affinity,0.656,0.479,0.957,0.966,0.045,0.036,1,2
KMeans,1.794,0.117,0.588,0.912,0.041,0.07,2,2
KMeans,0.128,0.072,0.951,0.976,0.95,0.975,2,2
KMeans,0.909,0.461,0.951,0.976,0.0,0.0,2,2
KMeans,8.447,0.24,0.547,0.89,0.044,0.047,2,2
KMeans,0.11,0.062,0.962,0.976,0.961,0.976,2,2
KMeans,0.775,0.533,0.962,0.976,0.0,0.0,2,2
specteral,0.091,0.018,0.765,0.628,0.006,0.038,2,2
specteral,0.108,0.056,0.962,0.976,0.964,0.979,2,2
specteral,0.684,0.336,0.962,0.976,0.125,0.077,2,2
specteral,0.082,0.018,0.501,0.844,0.004,0.016,2,2
specteral,0.202,0.106,0.906,0.976,0.91,0.981,2,2
specteral,1.73,0.488,0.906,0.976,0.25,0.062,2,2
affinity,0.074,0.021,0.676,0.703,0.006,0.037,2,2
affinity,0.113,0.063,0.96,0.976,0.959,0.975,2,2
affinity,0.575,0.359,0.96,0.976,0.0,0.0,2,2
affinity,0.074,0.021,0.615,0.841,0.005,0.032,2,2
affinity,0.125,0.066,0.954,0.976,0.955,0.977,2,2
affinity,0.663,0.405,0.954,0.976,0.062,0.032,2,2
KMeans,0.557,0.042,0.769,0.73,0.061,0.056,3,2
KMeans,0.134,0.079,0.953,0.957,0.957,0.961,3,2
KMeans,0.537,0.354,0.953,0.957,0.125,0.115,3,2
KMeans,1.053,0.091,0.741,0.778,0.056,0.076,3,2
KMeans,0.152,0.081,0.952,0.957,0.955,0.961,3,2
KMeans,0.583,0.431,0.952,0.957,0.125,0.111,3,2
specteral,0.278,0.03,0.785,0.667,0.004,0.033,3,2
specteral,0.177,0.093,0.946,0.957,0.946,0.957,3,2
specteral,0.673,0.425,0.946,0.957,0.042,0.033,3,2
specteral,0.284,0.03,0.694,0.678,0.006,0.028,3,2
specteral,0.177,0.089,0.936,0.957,0.942,0.964,3,2
specteral,0.803,0.467,0.936,0.957,0.208,0.139,3,2
affinity,0.294,0.032,0.869,0.608,0.045,0.046,3,2
affinity,0.109,0.057,0.968,0.957,0.976,0.965,3,2
affinity,0.437,0.33,0.968,0.957,0.208,0.278,3,2
affinity,0.294,0.032,0.816,0.751,0.045,0.069,3,2
affinity,0.124,0.066,0.959,0.957,0.966,0.965,3,2
affinity,0.461,0.361,0.959,0.957,0.208,0.217,3,2
KMeans,0.937,0.09,0.722,0.728,0.055,0.056,4,2
KMeans,0.172,0.087,0.951,0.959,0.951,0.959,4,2
KMeans,0.538,0.366,0.951,0.959,0.048,0.04,4,2
KMeans,6.323,0.231,0.726,0.843,0.178,0.179,4,2
KMeans,0.144,0.077,0.953,0.959,0.957,0.963,4,2
KMeans,0.484,0.374,0.953,0.959,0.143,0.125,4,2
specteral,0.043,0.008,0.671,0.778,0.067,0.061,4,2
specteral,0.203,0.116,0.925,0.959,0.922,0.955,4,2
