,winDiff,pk,coverage,purity,recall,precision
KMeans,2.671,0.095,0.555,0.946,0.04,0.039
KMeans,0.174,0.099,0.92,0.966,0.925,0.972
KMeans,0.877,0.424,0.92,0.966,0.227,0.096
KMeans,2.246,0.086,0.584,0.938,0.026,0.046
KMeans,0.153,0.086,0.935,0.966,0.939,0.97
KMeans,0.683,0.424,0.935,0.966,0.182,0.095
specteral,0.08,0.012,0.565,0.914,0.007,0.026
specteral,0.131,0.074,0.941,0.966,0.949,0.974
specteral,0.502,0.378,0.941,0.966,0.273,0.158
specteral,0.08,0.012,0.612,0.923,0.009,0.045
specteral,0.156,0.092,0.941,0.966,0.939,0.964
specteral,0.584,0.384,0.941,0.966,0.0,0.0
affinity,0.068,0.012,0.481,0.932,0.006,0.017
affinity,0.199,0.108,0.908,0.966,0.914,0.973
affinity,0.995,0.469,0.908,0.966,0.273,0.1
affinity,0.08,0.006,0.482,0.952,0.011,0.032
affinity,0.202,0.111,0.911,0.966,0.914,0.97
affinity,0.976,0.468,0.911,0.966,0.182,0.069
