,winDiff,pk,coverage,purity,recall,precision
KMeans,1.735,0.014,0.513,0.896,0.039,0.051
KMeans,0.25,0.14,0.891,0.958,0.892,0.959
KMeans,1.141,0.497,0.891,0.958,0.13,0.05
KMeans,1.458,0.007,0.582,0.915,0.08,0.088
KMeans,0.213,0.118,0.909,0.958,0.913,0.962
KMeans,0.901,0.429,0.909,0.958,0.174,0.08
specteral,0.116,0.083,0.8,0.505,0.004,0.038
specteral,0.14,0.075,0.953,0.958,0.958,0.964
specteral,0.704,0.436,0.953,0.958,0.174,0.154
specteral,0.211,0.069,0.689,0.684,0.003,0.029
specteral,0.18,0.098,0.936,0.958,0.937,0.959
specteral,0.801,0.486,0.936,0.958,0.087,0.057
affinity,0.135,0.08,0.624,0.704,0.002,0.021
affinity,0.209,0.116,0.915,0.958,0.917,0.96
affinity,1.039,0.482,0.915,0.958,0.13,0.064
affinity,0.244,0.065,0.525,0.818,0.002,0.019
affinity,0.231,0.122,0.902,0.958,0.907,0.964
affinity,1.039,0.506,0.902,0.958,0.217,0.093
