,winDiff,pk,coverage,purity,recall,precision
KMeans,0.535,0.056,0.521,0.954,0.013,0.021
KMeans,0.167,0.086,0.929,0.976,0.932,0.979
KMeans,1.106,0.429,0.929,0.976,0.174,0.058
KMeans,0.548,0.058,0.568,0.964,0.015,0.023
KMeans,0.123,0.07,0.941,0.976,0.946,0.981
KMeans,0.875,0.398,0.941,0.976,0.261,0.105
specteral,0.384,0.038,0.621,0.946,0.028,0.042
specteral,0.109,0.063,0.953,0.976,0.956,0.98
specteral,0.629,0.362,0.953,0.976,0.174,0.087
specteral,0.145,0.015,0.682,0.943,0.037,0.042
specteral,0.107,0.063,0.953,0.976,0.956,0.98
specteral,0.641,0.339,0.953,0.976,0.174,0.087
affinity,0.55,0.06,0.419,0.938,0.011,0.014
affinity,0.173,0.089,0.924,0.976,0.927,0.98
affinity,1.295,0.537,0.924,0.976,0.217,0.068
affinity,0.751,0.085,0.415,0.974,0.001,0.012
affinity,0.175,0.097,0.915,0.976,0.919,0.981
affinity,1.361,0.487,0.915,0.976,0.261,0.072
