,winDiff,pk,coverage,purity,recall,precision,season,episode
specteral,0.144,0.076,0.561,0.862,0.948,0.972,1,6
specteral,0.196,0.107,0.476,0.948,0.91,0.978,1,6
specteral,0.257,0.138,0.44,0.942,0.884,0.97,1,6
specteral,1.709,0.888,0.445,0.937,0.098,0.849,1,6
affinity,0.116,0.064,0.662,0.829,0.965,0.968,1,6
affinity,0.11,0.058,0.671,0.872,0.965,0.974,1,6
affinity,0.113,0.07,0.677,0.913,0.959,0.968,1,6
affinity,0.138,0.076,0.606,0.917,0.949,0.971,1,6
affinity,0.159,0.084,0.564,0.919,0.938,0.974,1,6
affinity,1.798,0.902,0.583,0.914,0.068,0.977,1,6
KMeans,0.156,0.083,0.72,0.852,0.953,0.96,1,7
KMeans,0.123,0.067,0.702,0.794,0.964,0.966,1,7
KMeans,0.119,0.063,0.816,0.852,0.968,0.966,1,7
KMeans,0.177,0.103,0.648,0.919,0.928,0.963,1,7
KMeans,0.163,0.085,0.69,0.816,0.949,0.962,1,7
KMeans,1.779,0.908,0.643,0.865,0.06,0.865,1,7
specteral,0.123,0.074,0.72,0.865,0.957,0.966,1,7
specteral,0.137,0.078,0.765,0.814,0.957,0.962,1,7
specteral,0.148,0.085,0.65,0.884,0.945,0.965,1,7
specteral,0.213,0.125,0.558,0.935,0.906,0.962,1,7
specteral,0.224,0.139,0.549,0.969,0.892,0.959,1,7
specteral,1.682,0.859,0.556,0.942,0.111,0.922,1,7
affinity,0.127,0.074,0.774,0.834,0.962,0.96,1,7
affinity,0.108,0.06,0.823,0.796,0.972,0.966,1,7
affinity,0.123,0.069,0.778,0.872,0.964,0.964,1,7
affinity,0.148,0.083,0.704,0.895,0.949,0.964,1,7
affinity,0.116,0.07,0.682,0.912,0.953,0.973,1,7
affinity,1.79,0.921,0.709,0.913,0.051,0.794,1,7
KMeans,0.137,0.082,0.61,0.917,0.947,0.967,2,1
KMeans,0.122,0.072,0.669,0.897,0.957,0.968,2,1
KMeans,0.119,0.066,0.664,0.88,0.96,0.971,2,1
KMeans,0.19,0.105,0.529,0.92,0.923,0.967,2,1
KMeans,0.159,0.089,0.559,0.904,0.939,0.967,2,1
KMeans,1.807,0.914,0.545,0.918,0.061,0.905,2,1
specteral,0.125,0.071,0.613,0.932,0.952,0.974,2,1
specteral,0.122,0.069,0.673,0.874,0.957,0.971,2,1
specteral,0.128,0.074,0.663,0.911,0.954,0.969,2,1
specteral,0.221,0.122,0.536,0.955,0.903,0.969,2,1
specteral,0.255,0.139,0.439,0.941,0.884,0.97,2,1
specteral,1.702,0.874,0.461,0.954,0.108,0.895,2,1
affinity,0.1,0.06,0.723,0.869,0.967,0.971,2,1
affinity,0.137,0.074,0.661,0.875,0.955,0.968,2,1
affinity,0.134,0.076,0.701,0.894,0.955,0.966,2,1
affinity,0.162,0.094,0.525,0.932,0.935,0.967,2,1
affinity,0.147,0.086,0.606,0.94,0.939,0.97,2,1
affinity,1.798,0.908,0.579,0.926,0.065,0.932,2,1
KMeans,0.137,0.074,0.49,0.919,0.949,0.975,2,2
KMeans,0.116,0.062,0.632,0.926,0.959,0.977,2,2
KMeans,0.134,0.072,0.488,0.926,0.95,0.975,2,2
KMeans,0.19,0.099,0.424,0.954,0.92,0.978,2,2
KMeans,0.175,0.096,0.394,0.951,0.926,0.975,2,2
KMeans,1.804,0.907,0.447,0.96,0.074,0.961,2,2
specteral,0.116,0.062,0.551,0.924,0.955,0.981,2,2
specteral,0.14,0.076,0.479,0.938,0.944,0.977,2,2
