,winDiff,pk,coverage,purity,recall,precision
KMeans,0.038,0.002,0.547,0.862,0.08,0.096
KMeans,0.168,0.098,0.924,0.966,0.927,0.97
KMeans,0.886,0.388,0.924,0.966,0.182,0.08
KMeans,0.532,0.027,0.532,0.954,0.023,0.041
KMeans,0.196,0.113,0.911,0.966,0.913,0.968
KMeans,0.958,0.431,0.911,0.966,0.136,0.052
specteral,0.539,0.059,0.862,0.599,0.003,0.04
specteral,0.113,0.06,0.962,0.966,0.967,0.971
specteral,0.596,0.314,0.962,0.966,0.182,0.16
specteral,0.552,0.051,0.758,0.657,0.003,0.034
specteral,0.129,0.072,0.956,0.966,0.957,0.968
specteral,0.626,0.344,0.956,0.966,0.091,0.069
affinity,0.539,0.059,0.56,0.784,0.001,0.018
affinity,0.199,0.109,0.916,0.966,0.918,0.968
affinity,1.202,0.502,0.916,0.966,0.136,0.055
affinity,0.539,0.059,0.469,0.873,0.001,0.014
affinity,0.236,0.13,0.894,0.966,0.896,0.968
affinity,1.393,0.548,0.894,0.966,0.136,0.043
