,winDiff,pk,coverage,purity,recall,precision
KMeans,0.502,0.058,0.468,0.957,0.006,0.021
KMeans,0.167,0.092,0.928,0.974,0.929,0.975
KMeans,0.992,0.483,0.928,0.974,0.118,0.043
KMeans,1.24,0.012,0.492,0.946,0.014,0.026
KMeans,0.139,0.074,0.94,0.974,0.945,0.979
KMeans,0.794,0.452,0.94,0.974,0.235,0.103
specteral,0.822,0.018,0.604,0.858,0.026,0.056
specteral,0.108,0.057,0.96,0.974,0.964,0.978
specteral,0.635,0.403,0.96,0.974,0.176,0.115
specteral,0.717,0.006,0.584,0.924,0.066,0.069
specteral,0.117,0.068,0.952,0.974,0.954,0.976
specteral,0.624,0.38,0.952,0.974,0.118,0.065
affinity,0.618,0.049,0.456,0.928,0.008,0.024
affinity,0.16,0.088,0.935,0.974,0.935,0.974
affinity,1.011,0.504,0.935,0.974,0.059,0.024
affinity,1.542,0.018,0.388,0.965,0.005,0.017
affinity,0.198,0.106,0.908,0.974,0.911,0.978
affinity,1.349,0.572,0.908,0.974,0.235,0.067
