,winDiff,pk,coverage,purity,recall,precision
KMeans,0.696,0.1,0.304,0.957,0.002,0.018
KMeans,0.188,0.102,0.909,0.983,0.911,0.984
KMeans,2.247,0.607,0.909,0.983,0.182,0.035
KMeans,0.754,0.106,0.399,0.965,0.004,0.025
KMeans,0.15,0.081,0.936,0.983,0.935,0.981
KMeans,1.473,0.587,0.936,0.983,0.0,0.0
specteral,0.188,0.021,0.461,0.948,0.049,0.061
specteral,0.118,0.062,0.946,0.983,0.95,0.987
specteral,1.253,0.512,0.946,0.983,0.273,0.088
specteral,0.232,0.026,0.434,0.962,0.044,0.057
specteral,0.124,0.072,0.943,0.983,0.943,0.983
specteral,1.3,0.546,0.943,0.983,0.091,0.028
affinity,0.768,0.108,0.312,0.973,0.002,0.018
affinity,0.188,0.099,0.913,0.983,0.914,0.984
affinity,2.152,0.597,0.913,0.983,0.182,0.036
affinity,0.609,0.09,0.334,0.981,0.002,0.015
affinity,0.204,0.111,0.897,0.983,0.9,0.986
affinity,2.643,0.587,0.897,0.983,0.273,0.046
