,winDiff,pk,coverage,purity,recall,precision
KMeans,0.108,0.003,0.51,0.858,0.009,0.025
KMeans,0.242,0.133,0.898,0.966,0.896,0.964
KMeans,1.341,0.521,0.898,0.966,0.045,0.015
KMeans,0.117,0.006,0.527,0.911,0.035,0.039
KMeans,0.181,0.099,0.911,0.966,0.92,0.976
KMeans,1.035,0.454,0.911,0.966,0.364,0.138
specteral,0.043,0.021,0.794,0.413,0.008,0.042
specteral,0.134,0.068,0.963,0.966,0.963,0.966
specteral,0.924,0.578,0.963,0.966,0.045,0.042
specteral,0.126,0.006,0.656,0.659,0.008,0.038
specteral,0.159,0.082,0.946,0.966,0.947,0.967
specteral,0.825,0.513,0.946,0.966,0.091,0.057
affinity,0.043,0.021,0.622,0.641,0.003,0.018
affinity,0.221,0.117,0.914,0.966,0.912,0.965
affinity,1.32,0.523,0.914,0.966,0.045,0.018
affinity,0.043,0.021,0.541,0.823,0.003,0.015
affinity,0.255,0.136,0.895,0.966,0.893,0.964
affinity,1.415,0.512,0.895,0.966,0.045,0.015
