,winDiff,pk,coverage,purity,recall,precision,episode,season
KMeans,1.824,0.924,0.938,0.974,0.057,0.9,5,1
KMeans,0.848,0.509,0.938,0.974,0.235,0.1,5,1
KMeans,0.544,0.055,0.526,0.922,0.001,0.017,6,1
KMeans,0.217,0.116,0.908,0.966,0.91,0.968,6,1
KMeans,1.022,0.445,0.908,0.966,0.136,0.05,6,1
KMeans,0.544,0.055,0.505,0.945,0.001,0.019,6,1
KMeans,0.19,0.11,0.917,0.966,0.918,0.967,6,1
KMeans,0.823,0.444,0.917,0.966,0.091,0.037,6,1
KMeans,0.542,0.054,0.506,0.945,0.002,0.018,6,1
KMeans,1.758,0.891,0.913,0.966,0.084,0.93,6,1
KMeans,0.947,0.472,0.913,0.966,0.182,0.07,6,1
specteral,0.556,0.044,0.434,0.954,0.002,0.013,6,1
specteral,0.242,0.128,0.881,0.966,0.889,0.976,6,1
specteral,1.391,0.509,0.881,0.966,0.364,0.103,6,1
specteral,0.518,0.051,0.408,0.965,0.003,0.01,6,1
specteral,0.291,0.162,0.853,0.966,0.858,0.971,6,1
specteral,1.818,0.533,0.853,0.966,0.273,0.062,6,1
specteral,0.539,0.059,0.43,0.95,0.001,0.011,6,1
specteral,1.66,0.852,0.864,0.966,0.13,0.921,6,1
specteral,1.649,0.525,0.864,0.966,0.318,0.079,6,1
affinity,0.044,0.003,0.687,0.907,0.268,0.31,6,1
affinity,0.116,0.066,0.956,0.966,0.96,0.971,6,1
affinity,0.429,0.289,0.956,0.966,0.182,0.138,6,1
affinity,0.582,0.03,0.61,0.936,0.017,0.041,6,1
affinity,0.165,0.099,0.931,0.966,0.93,0.966,6,1
affinity,0.667,0.37,0.931,0.966,0.045,0.022,6,1
affinity,0.442,0.033,0.566,0.919,0.031,0.045,6,1
affinity,1.807,0.907,0.937,0.966,0.063,0.976,6,1
affinity,0.674,0.431,0.937,0.966,0.045,0.024,6,1
KMeans,0.378,0.057,0.605,0.888,0.001,0.024,7,1
KMeans,0.181,0.105,0.924,0.957,0.928,0.961,7,1
KMeans,0.631,0.401,0.924,0.957,0.167,0.095,7,1
KMeans,0.384,0.029,0.635,0.895,0.01,0.026,7,1
KMeans,0.174,0.103,0.93,0.957,0.932,0.959,7,1
KMeans,0.605,0.39,0.93,0.957,0.125,0.077,7,1
KMeans,0.384,0.035,0.614,0.931,0.007,0.023,7,1
KMeans,1.754,0.884,0.921,0.957,0.079,0.955,7,1
KMeans,0.572,0.365,0.921,0.957,0.083,0.045,7,1
specteral,0.372,0.051,0.493,0.921,0.005,0.015,7,1
specteral,0.253,0.143,0.879,0.957,0.885,0.963,7,1
specteral,1.14,0.488,0.879,0.957,0.25,0.09,7,1
specteral,0.372,0.057,0.554,0.921,0.001,0.017,7,1
specteral,0.246,0.137,0.895,0.957,0.896,0.958,7,1
specteral,0.919,0.442,0.895,0.957,0.125,0.052,7,1
specteral,0.315,0.049,0.581,0.903,0.005,0.02,7,1
specteral,1.729,0.879,0.908,0.957,0.089,0.922,7,1
specteral,0.86,0.431,0.908,0.957,0.167,0.078,7,1
affinity,1.287,0.029,0.819,0.816,0.31,0.289,7,1
affinity,0.123,0.065,0.964,0.957,0.97,0.963,7,1
affinity,0.445,0.346,0.964,0.957,0.167,0.2,7,1
affinity,0.467,0.028,0.7,0.881,0.011,0.031,7,1
affinity,0.119,0.069,0.942,0.957,0.957,0.971,7,1
affinity,0.452,0.337,0.942,0.957,0.375,0.281,7,1
affinity,0.467,0.028,0.699,0.857,0.011,0.031,7,1
affinity,1.797,0.913,0.942,0.957,0.053,0.875,7,1
affinity,0.548,0.365,0.942,0.957,0.167,0.125,7,1
KMeans,2.246,0.086,0.545,0.924,0.02,0.035,1,2
KMeans,0.196,0.112,0.915,0.966,0.915,0.966,1,2
KMeans,1.013,0.449,0.915,0.966,0.091,0.036,1,2
KMeans,0.502,0.031,0.547,0.926,0.021,0.038,1,2
KMeans,0.193,0.106,0.921,0.966,0.922,0.967,1,2
KMeans,0.872,0.438,0.921,0.966,0.091,0.039,1,2
KMeans,1.209,0.058,0.513,0.901,0.021,0.034,1,2
KMeans,1.767,0.894,0.915,0.966,0.081,0.927,1,2
KMeans,0.987,0.469,0.915,0.966,0.182,0.073,1,2
specteral,0.049,0.015,0.45,0.958,0.005,0.013,1,2
specteral,0.245,0.129,0.883,0.966,0.89,0.974,1,2
specteral,1.375,0.466,0.883,0.966,0.318,0.092,1,2
specteral,0.071,0.015,0.45,0.943,0.003,0.018,1,2
specteral,0.23,0.125,0.891,0.966,0.896,0.972,1,2
specteral,1.262,0.479,0.891,0.966,0.273,0.085,1,2
specteral,0.234,0.003,0.482,0.94,0.017,0.029,1,2
specteral,1.718,0.866,0.891,0.966,0.108,0.958,1,2
specteral,1.347,0.483,0.891,0.966,0.136,0.042,1,2
affinity,0.142,0.003,0.698,0.863,0.02,0.072,1,2
affinity,0.122,0.072,0.958,0.966,0.959,0.966,1,2
affinity,0.508,0.386,0.958,0.966,0.045,0.037,1,2
affinity,0.185,0.0,0.635,0.924,0.04,0.056,1,2
affinity,0.14,0.08,0.941,0.966,0.946,0.971,1,2
affinity,0.618,0.397,0.941,0.966,0.182,0.105,1,2
affinity,0.08,0.012,0.622,0.914,0.012,0.044,1,2
affinity,1.804,0.914,0.935,0.966,0.061,0.905,1,2
affinity,0.713,0.414,0.935,0.966,0.182,0.095,1,2
KMeans,0.224,0.018,0.347,0.974,0.021,0.03,2,2
KMeans,0.193,0.104,0.907,0.976,0.911,0.981,2,2
KMeans,1.666,0.606,0.907,0.976,0.25,0.063,2,2
KMeans,0.968,0.05,0.394,0.956,0.023,0.034,2,2
KMeans,0.202,0.11,0.907,0.976,0.908,0.977,2,2
KMeans,1.7,0.602,0.907,0.976,0.125,0.032,2,2
KMeans,1.356,0.059,0.388,0.949,0.024,0.035,2,2
KMeans,1.792,0.903,0.918,0.976,0.08,0.946,2,2
KMeans,1.463,0.602,0.918,0.976,0.188,0.054,2,2
specteral,1.062,0.053,0.297,0.972,0.012,0.018,2,2
specteral,0.281,0.153,0.859,0.976,0.861,0.979,2,2
specteral,2.753,0.653,0.859,0.976,0.25,0.042,2,2
specteral,1.309,0.059,0.299,0.982,0.016,0.022,2,2
specteral,0.284,0.157,0.857,0.976,0.858,0.978,2,2
specteral,2.763,0.629,0.857,0.976,0.188,0.031,2,2
specteral,0.229,0.003,0.337,0.975,0.023,0.024,2,2
specteral,1.692,0.865,0.868,0.976,0.125,0.922,2,2
specteral,2.551,0.632,0.868,0.976,0.438,0.078,2,2
