,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,0.523,0.366,0.945,0.966,0.364,0.222,6,1
specteral,0.574,0.022,0.621,0.87,0.118,0.124,6,1
specteral,0.144,0.083,0.948,0.966,0.948,0.966,6,1
specteral,0.534,0.353,0.948,0.966,0.045,0.029,6,1
affinity,0.292,0.017,0.662,0.829,0.273,0.301,6,1
affinity,0.116,0.064,0.963,0.966,0.965,0.968,6,1
affinity,0.491,0.356,0.963,0.966,0.091,0.083,6,1
affinity,0.114,0.005,0.651,0.882,0.11,0.137,6,1
affinity,0.126,0.069,0.956,0.966,0.959,0.97,6,1
affinity,0.444,0.308,0.956,0.966,0.136,0.103,6,1
KMeans,0.514,0.012,0.686,0.852,0.018,0.032,7,1
KMeans,0.152,0.088,0.944,0.957,0.947,0.96,7,1
KMeans,0.467,0.346,0.944,0.957,0.125,0.097,7,1
KMeans,0.64,0.016,0.733,0.825,0.293,0.306,7,1
KMeans,0.13,0.07,0.955,0.957,0.962,0.964,7,1
KMeans,0.426,0.322,0.955,0.957,0.208,0.2,7,1
specteral,0.23,0.01,0.733,0.85,0.091,0.1,7,1
specteral,0.145,0.079,0.949,0.957,0.955,0.962,7,1
specteral,0.531,0.368,0.949,0.957,0.167,0.143,7,1
specteral,1.506,0.047,0.681,0.801,0.125,0.149,7,1
specteral,0.152,0.081,0.951,0.957,0.955,0.96,7,1
specteral,0.552,0.431,0.951,0.957,0.125,0.111,7,1
affinity,0.821,0.01,0.774,0.834,0.174,0.174,7,1
affinity,0.127,0.074,0.958,0.957,0.962,0.96,7,1
affinity,0.467,0.357,0.958,0.957,0.125,0.13,7,1
affinity,1.01,0.024,0.776,0.823,0.225,0.192,7,1
affinity,0.105,0.052,0.962,0.957,0.975,0.97,7,1
affinity,0.437,0.33,0.962,0.957,0.333,0.381,7,1
KMeans,4.292,0.129,0.658,0.906,0.036,0.058,1,2
KMeans,0.137,0.076,0.949,0.966,0.952,0.969,1,2
KMeans,0.538,0.351,0.949,0.966,0.136,0.091,1,2
KMeans,2.966,0.104,0.635,0.881,0.039,0.058,1,2
KMeans,0.128,0.072,0.952,0.966,0.955,0.969,1,2
KMeans,0.595,0.417,0.952,0.966,0.136,0.097,1,2
specteral,0.517,0.021,0.641,0.934,0.045,0.059,1,2
specteral,0.122,0.069,0.946,0.966,0.954,0.974,1,2
specteral,0.503,0.375,0.946,0.966,0.273,0.171,1,2
specteral,0.64,0.04,0.619,0.9,0.033,0.05,1,2
specteral,0.134,0.077,0.945,0.966,0.949,0.971,1,2
specteral,0.55,0.387,0.945,0.966,0.182,0.111,1,2
affinity,0.932,0.04,0.723,0.869,0.062,0.082,1,2
affinity,0.1,0.06,0.961,0.966,0.967,0.971,1,2
affinity,0.491,0.402,0.961,0.966,0.182,0.16,1,2
affinity,0.111,0.009,0.713,0.917,0.014,0.065,1,2
affinity,0.125,0.076,0.955,0.966,0.955,0.966,1,2
affinity,0.457,0.35,0.955,0.966,0.045,0.034,1,2
KMeans,0.371,0.026,0.551,0.94,0.055,0.074,2,2
KMeans,0.128,0.072,0.951,0.976,0.95,0.975,2,2
KMeans,0.745,0.48,0.951,0.976,0.0,0.0,2,2
KMeans,2.876,0.097,0.559,0.926,0.133,0.159,2,2
KMeans,0.11,0.06,0.96,0.976,0.961,0.977,2,2
KMeans,0.621,0.436,0.96,0.976,0.062,0.037,2,2
specteral,4.838,0.135,0.507,0.928,0.095,0.103,2,2
specteral,0.146,0.076,0.944,0.976,0.944,0.977,2,2
specteral,1.018,0.529,0.944,0.976,0.062,0.026,2,2
specteral,1.309,0.059,0.485,0.944,0.078,0.104,2,2
specteral,0.131,0.074,0.947,0.976,0.947,0.977,2,2
specteral,0.894,0.467,0.947,0.976,0.062,0.028,2,2
affinity,2.735,0.091,0.619,0.943,0.12,0.114,2,2
affinity,0.105,0.057,0.963,0.976,0.964,0.977,2,2
