,winDiff,pk,coverage,purity,recall,precision
KMeans,0.256,0.008,0.603,0.81,0.074,0.095
KMeans,0.199,0.111,0.918,0.957,0.921,0.961
KMeans,0.918,0.462,0.918,0.957,0.167,0.087
KMeans,0.553,0.034,0.655,0.882,0.074,0.082
KMeans,0.177,0.1,0.921,0.957,0.929,0.965
KMeans,0.724,0.38,0.921,0.957,0.25,0.136
specteral,0.278,0.03,0.826,0.68,0.045,0.04
specteral,0.152,0.081,0.955,0.957,0.957,0.959
specteral,0.576,0.394,0.955,0.957,0.083,0.08
specteral,0.261,0.017,0.784,0.692,0.087,0.091
specteral,0.152,0.084,0.952,0.957,0.953,0.959
specteral,0.622,0.414,0.952,0.957,0.083,0.074
affinity,0.318,0.036,0.751,0.705,0.004,0.026
affinity,0.177,0.1,0.932,0.957,0.935,0.96
affinity,0.753,0.392,0.932,0.957,0.125,0.079
affinity,0.318,0.036,0.646,0.846,0.002,0.019
affinity,0.213,0.118,0.903,0.957,0.91,0.964
affinity,1.009,0.443,0.903,0.957,0.25,0.111
