,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,1.064,0.062,0.566,0.885,0.044,0.068,9,5
specteral,0.08,0.043,0.969,0.982,0.972,0.984,9,5
affinity,0.618,0.029,0.667,0.845,0.412,0.426,9,5
affinity,0.069,0.037,0.977,0.982,0.979,0.983,9,5
KMeans,0.46,0.029,0.793,0.867,0.173,0.159,10,5
KMeans,0.109,0.06,0.967,0.968,0.968,0.97,10,5
specteral,1.227,0.09,0.778,0.83,0.033,0.015,10,5
specteral,0.096,0.051,0.969,0.968,0.974,0.973,10,5
affinity,0.098,0.004,0.77,0.802,0.152,0.124,10,5
affinity,0.096,0.051,0.972,0.968,0.975,0.972,10,5
