,winDiff,pk,coverage,purity,recall,precision
KMeans,0.619,0.106,0.56,0.82,0.017,0.027
KMeans,0.177,0.095,0.922,0.969,0.927,0.974
KMeans,1.093,0.482,0.922,0.969,0.222,0.089
KMeans,0.472,0.079,0.508,0.929,0.02,0.037
KMeans,0.156,0.083,0.917,0.969,0.93,0.983
KMeans,1.014,0.486,0.917,0.969,0.5,0.188
specteral,0.629,0.112,0.782,0.454,0.024,0.036
specteral,0.146,0.076,0.951,0.969,0.952,0.969
specteral,0.904,0.45,0.951,0.969,0.056,0.036
specteral,0.65,0.112,0.558,0.816,0.012,0.024
specteral,0.194,0.101,0.92,0.969,0.923,0.972
specteral,1.134,0.55,0.92,0.969,0.167,0.065
affinity,0.64,0.119,0.584,0.818,0.003,0.021
affinity,0.194,0.102,0.919,0.969,0.921,0.972
affinity,1.086,0.436,0.919,0.969,0.167,0.064
affinity,0.64,0.113,0.539,0.818,0.011,0.018
affinity,0.219,0.118,0.903,0.969,0.905,0.971
affinity,1.451,0.527,0.903,0.969,0.167,0.054
