,winDiff,pk,coverage,purity,recall,precision,season,episode
specteral,0.077,0.043,0.651,0.908,0.971,0.985,1,6
specteral,0.192,0.098,0.41,0.967,0.911,0.989,1,6
specteral,0.207,0.109,0.377,0.971,0.902,0.986,1,6
specteral,1.758,0.885,0.428,0.974,0.103,0.973,1,6
affinity,0.084,0.046,0.604,0.883,0.971,0.982,1,6
affinity,0.097,0.055,0.51,0.964,0.959,0.985,1,6
affinity,0.084,0.049,0.567,0.964,0.964,0.987,1,6
affinity,0.084,0.046,0.584,0.936,0.967,0.986,1,6
affinity,0.114,0.06,0.517,0.969,0.952,0.986,1,6
affinity,1.866,0.939,0.485,0.966,0.048,0.944,1,6
KMeans,0.093,0.052,0.706,0.876,0.968,0.978,1,7
KMeans,0.093,0.05,0.698,0.807,0.972,0.977,1,7
KMeans,0.084,0.047,0.754,0.818,0.974,0.978,1,7
KMeans,0.167,0.087,0.514,0.935,0.929,0.98,1,7
KMeans,0.144,0.079,0.519,0.965,0.936,0.982,1,7
KMeans,1.827,0.92,0.546,0.932,0.061,0.951,1,7
specteral,0.086,0.045,0.711,0.915,0.972,0.982,1,7
specteral,0.099,0.053,0.713,0.893,0.967,0.978,1,7
specteral,0.086,0.044,0.691,0.86,0.973,0.982,1,7
specteral,0.177,0.098,0.521,0.949,0.92,0.979,1,7
specteral,0.198,0.109,0.516,0.959,0.909,0.977,1,7
specteral,1.761,0.887,0.425,0.969,0.095,0.968,1,7
affinity,0.095,0.051,0.739,0.868,0.972,0.976,1,7
affinity,0.091,0.049,0.708,0.933,0.968,0.981,1,7
affinity,0.101,0.053,0.666,0.932,0.965,0.98,1,7
affinity,0.082,0.045,0.72,0.908,0.973,0.981,1,7
affinity,0.107,0.058,0.638,0.936,0.961,0.98,1,7
affinity,1.852,0.93,0.609,0.934,0.049,0.959,1,7
KMeans,0.106,0.055,0.773,0.879,0.971,0.973,1,8
KMeans,0.084,0.047,0.797,0.812,0.977,0.975,1,8
KMeans,0.092,0.053,0.806,0.912,0.973,0.973,1,8
KMeans,0.173,0.092,0.544,0.924,0.931,0.972,1,8
KMeans,0.18,0.097,0.558,0.932,0.929,0.971,1,8
KMeans,1.81,0.907,0.539,0.918,0.067,0.987,1,8
specteral,0.101,0.056,0.765,0.908,0.97,0.973,1,8
specteral,0.103,0.059,0.716,0.907,0.967,0.973,1,8
specteral,0.094,0.053,0.711,0.891,0.972,0.974,1,8
specteral,0.219,0.12,0.515,0.955,0.904,0.971,1,8
specteral,0.185,0.102,0.557,0.95,0.922,0.972,1,8
specteral,1.76,0.887,0.473,0.956,0.09,0.962,1,8
affinity,0.096,0.053,0.739,0.87,0.973,0.973,1,8
affinity,0.092,0.053,0.716,0.932,0.969,0.976,1,8
affinity,0.096,0.056,0.652,0.926,0.967,0.976,1,8
affinity,0.099,0.057,0.703,0.907,0.967,0.974,1,8
affinity,0.109,0.062,0.623,0.938,0.959,0.977,1,8
affinity,1.853,0.932,0.643,0.935,0.043,0.942,1,8
KMeans,0.097,0.053,0.699,0.899,0.967,0.979,1,9
KMeans,0.085,0.045,0.743,0.898,0.972,0.982,1,9
KMeans,0.085,0.044,0.753,0.882,0.974,0.981,1,9
KMeans,0.166,0.09,0.515,0.966,0.924,0.984,1,9
KMeans,0.161,0.086,0.564,0.962,0.932,0.979,1,9
KMeans,1.825,0.929,0.546,0.959,0.059,0.877,1,9
specteral,0.094,0.052,0.655,0.907,0.967,0.98,1,9
specteral,0.094,0.048,0.721,0.887,0.969,0.981,1,9
specteral,0.094,0.051,0.625,0.901,0.967,0.981,1,9
specteral,0.18,0.098,0.449,0.968,0.917,0.982,1,9
specteral,0.205,0.113,0.424,0.964,0.902,0.981,1,9
specteral,1.749,0.884,0.391,0.967,0.101,0.956,1,9
affinity,0.09,0.049,0.672,0.848,0.971,0.979,1,9
affinity,0.09,0.052,0.645,0.926,0.966,0.981,1,9
affinity,0.097,0.051,0.622,0.91,0.966,0.982,1,9
affinity,0.097,0.051,0.628,0.89,0.967,0.981,1,9
affinity,0.11,0.059,0.61,0.959,0.958,0.982,1,9
affinity,1.864,0.937,0.554,0.929,0.045,0.95,1,9
KMeans,0.133,0.074,0.823,0.892,0.96,0.963,1,10
