,winDiff,pk,coverage,purity,recall,precision,season,episode
KMeans,0.094,0.052,0.685,0.863,0.967,0.98,1,9
KMeans,0.085,0.045,0.7,0.901,0.969,0.984,1,9
specteral,0.117,0.068,0.553,0.901,0.951,0.979,1,9
specteral,0.11,0.062,0.583,0.93,0.955,0.981,1,9
specteral,0.108,0.057,0.841,0.529,0.964,0.977,1,9
specteral,0.136,0.076,0.767,0.847,0.941,0.98,1,9
affinity,0.085,0.047,0.659,0.899,0.971,0.981,1,9
affinity,0.101,0.055,0.622,0.931,0.964,0.98,1,9
affinity,0.11,0.06,0.728,0.811,0.959,0.98,1,9
affinity,0.117,0.064,0.662,0.861,0.954,0.979,1,9
KMeans,0.133,0.069,0.746,0.886,0.959,0.969,1,10
KMeans,0.115,0.065,0.739,0.877,0.965,0.968,1,10
KMeans,0.127,0.069,0.839,0.739,0.965,0.963,1,10
KMeans,0.115,0.069,0.823,0.854,0.963,0.965,1,10
specteral,0.145,0.081,0.694,0.846,0.955,0.96,1,10
specteral,0.136,0.072,0.736,0.882,0.954,0.97,1,10
specteral,0.142,0.077,0.832,0.499,0.957,0.963,1,10
specteral,0.16,0.089,0.78,0.647,0.943,0.964,1,10
affinity,0.127,0.066,0.815,0.839,0.968,0.963,1,10
affinity,0.118,0.069,0.833,0.869,0.965,0.963,1,10
affinity,0.142,0.081,0.783,0.612,0.954,0.961,1,10
affinity,0.151,0.078,0.764,0.644,0.955,0.963,1,10
KMeans,0.101,0.063,0.739,0.959,0.96,0.976,2,1
KMeans,0.086,0.047,0.748,0.916,0.973,0.978,2,1
KMeans,0.089,0.049,0.77,0.722,0.972,0.977,2,1
KMeans,0.108,0.059,0.737,0.831,0.963,0.976,2,1
specteral,0.089,0.057,0.74,0.94,0.963,0.978,2,1
specteral,0.108,0.059,0.699,0.899,0.96,0.979,2,1
specteral,0.108,0.055,0.86,0.41,0.967,0.976,2,1
specteral,0.133,0.07,0.807,0.583,0.953,0.974,2,1
affinity,0.081,0.042,0.774,0.851,0.977,0.98,2,1
affinity,0.099,0.055,0.728,0.903,0.967,0.976,2,1
affinity,0.131,0.071,0.748,0.699,0.952,0.974,2,1
affinity,0.128,0.066,0.718,0.737,0.957,0.974,2,1
KMeans,0.09,0.05,0.769,0.908,0.969,0.979,2,2
KMeans,0.085,0.045,0.784,0.889,0.973,0.981,2,2
KMeans,0.1,0.054,0.806,0.701,0.97,0.974,2,2
KMeans,0.077,0.044,0.85,0.784,0.977,0.978,2,2
specteral,0.108,0.059,0.74,0.906,0.961,0.978,2,2
specteral,0.108,0.061,0.664,0.889,0.958,0.979,2,2
specteral,0.119,0.066,0.846,0.464,0.958,0.974,2,2
specteral,0.124,0.066,0.805,0.649,0.955,0.976,2,2
affinity,0.082,0.045,0.821,0.883,0.974,0.98,2,2
affinity,0.103,0.055,0.755,0.891,0.966,0.977,2,2
affinity,0.119,0.063,0.765,0.658,0.958,0.977,2,2
affinity,0.129,0.067,0.74,0.712,0.955,0.975,2,2
KMeans,0.101,0.055,0.665,0.946,0.962,0.981,2,4
KMeans,0.098,0.053,0.658,0.937,0.967,0.978,2,4
KMeans,0.096,0.053,0.725,0.753,0.97,0.976,2,4
KMeans,0.106,0.055,0.747,0.779,0.969,0.975,2,4
specteral,0.093,0.053,0.67,0.918,0.965,0.981,2,4
specteral,0.081,0.045,0.779,0.858,0.974,0.98,2,4
specteral,0.123,0.064,0.778,0.642,0.958,0.976,2,4
specteral,0.143,0.079,0.699,0.794,0.942,0.977,2,4
affinity,0.081,0.043,0.697,0.891,0.975,0.981,2,4
affinity,0.086,0.048,0.666,0.92,0.97,0.981,2,4
affinity,0.138,0.071,0.677,0.769,0.951,0.975,2,4
affinity,0.135,0.069,0.656,0.852,0.953,0.976,2,4
KMeans,0.094,0.054,0.669,0.939,0.964,0.981,2,5
KMeans,0.066,0.036,0.814,0.918,0.979,0.984,2,5
KMeans,0.09,0.048,0.736,0.834,0.969,0.982,2,5
KMeans,0.107,0.058,0.725,0.877,0.964,0.976,2,5
specteral,0.096,0.054,0.717,0.903,0.964,0.981,2,5
specteral,0.09,0.05,0.701,0.939,0.965,0.983,2,5
specteral,0.114,0.06,0.798,0.623,0.957,0.981,2,5
specteral,0.127,0.069,0.713,0.733,0.95,0.979,2,5
affinity,0.081,0.046,0.753,0.85,0.974,0.979,2,5
affinity,0.085,0.047,0.726,0.931,0.97,0.982,2,5
affinity,0.127,0.064,0.675,0.788,0.956,0.977,2,5
affinity,0.127,0.066,0.704,0.819,0.954,0.978,2,5
KMeans,0.076,0.042,0.646,0.959,0.969,0.988,2,6
KMeans,0.081,0.043,0.618,0.911,0.971,0.984,2,6
KMeans,0.095,0.05,0.668,0.844,0.966,0.982,2,6
KMeans,0.085,0.045,0.605,0.827,0.972,0.982,2,6
specteral,0.091,0.048,0.607,0.878,0.965,0.985,2,6
specteral,0.074,0.04,0.673,0.888,0.973,0.986,2,6
specteral,0.087,0.045,0.779,0.514,0.972,0.982,2,6
specteral,0.106,0.054,0.653,0.705,0.96,0.985,2,6
affinity,0.081,0.043,0.633,0.847,0.973,0.983,2,6
affinity,0.104,0.055,0.45,0.928,0.96,0.984,2,6
affinity,0.1,0.053,0.644,0.687,0.963,0.982,2,6
affinity,0.104,0.053,0.586,0.777,0.962,0.984,2,6
KMeans,0.111,0.059,0.721,0.888,0.964,0.976,2,7
KMeans,0.098,0.053,0.775,0.903,0.97,0.975,2,7
KMeans,0.106,0.06,0.76,0.811,0.965,0.974,2,7
KMeans,0.102,0.058,0.75,0.864,0.966,0.975,2,7
specteral,0.109,0.066,0.685,0.911,0.959,0.972,2,7
specteral,0.1,0.058,0.723,0.907,0.966,0.975,2,7
