,winDiff,pk,coverage,purity,recall,precision,season,episode
specteral,0.07,0.037,0.705,0.864,0.978,0.985,1,6
specteral,0.176,0.097,0.429,0.97,0.918,0.982,1,6
specteral,0.176,0.094,0.418,0.942,0.917,0.986,1,6
specteral,1.767,0.891,0.397,0.962,0.097,0.963,1,6
affinity,0.073,0.038,0.641,0.905,0.974,0.987,1,6
affinity,0.081,0.046,0.575,0.955,0.966,0.987,1,6
affinity,0.081,0.046,0.575,0.947,0.967,0.986,1,6
affinity,0.081,0.045,0.558,0.946,0.967,0.987,1,6
affinity,0.103,0.052,0.499,0.951,0.959,0.988,1,6
affinity,1.874,0.942,0.482,0.955,0.044,0.94,1,6
KMeans,0.08,0.05,0.812,0.912,0.973,0.976,1,7
KMeans,0.078,0.045,0.819,0.785,0.978,0.976,1,7
KMeans,0.07,0.041,0.859,0.877,0.98,0.978,1,7
KMeans,0.142,0.078,0.571,0.966,0.939,0.98,1,7
KMeans,0.132,0.076,0.624,0.952,0.944,0.977,1,7
KMeans,1.856,0.938,0.627,0.946,0.044,0.894,1,7
specteral,0.084,0.05,0.756,0.91,0.972,0.977,1,7
specteral,0.08,0.041,0.792,0.931,0.976,0.982,1,7
specteral,0.076,0.041,0.746,0.869,0.976,0.982,1,7
specteral,0.167,0.088,0.442,0.952,0.926,0.982,1,7
specteral,0.177,0.1,0.48,0.97,0.916,0.981,1,7
specteral,1.78,0.9,0.509,0.958,0.083,0.94,1,7
affinity,0.086,0.047,0.741,0.89,0.973,0.979,1,7
affinity,0.07,0.043,0.755,0.937,0.975,0.981,1,7
affinity,0.078,0.041,0.74,0.913,0.975,0.983,1,7
affinity,0.101,0.055,0.632,0.91,0.964,0.979,1,7
affinity,0.091,0.052,0.667,0.94,0.965,0.981,1,7
affinity,1.864,0.938,0.669,0.942,0.042,0.93,1,7
KMeans,0.089,0.051,0.767,0.914,0.974,0.974,1,8
KMeans,0.084,0.046,0.775,0.842,0.979,0.974,1,8
KMeans,0.086,0.047,0.765,0.855,0.979,0.973,1,8
KMeans,0.156,0.084,0.583,0.953,0.939,0.974,1,8
KMeans,0.125,0.07,0.716,0.929,0.955,0.972,1,8
KMeans,1.851,0.932,0.653,0.916,0.043,0.925,1,8
specteral,0.084,0.049,0.792,0.843,0.977,0.973,1,8
specteral,0.092,0.049,0.771,0.814,0.977,0.973,1,8
specteral,0.075,0.044,0.809,0.849,0.981,0.975,1,8
specteral,0.163,0.087,0.559,0.936,0.938,0.972,1,8
specteral,0.178,0.097,0.522,0.948,0.927,0.971,1,8
specteral,1.796,0.908,0.551,0.954,0.07,0.93,1,8
affinity,0.08,0.045,0.767,0.918,0.977,0.976,1,8
affinity,0.08,0.048,0.692,0.932,0.972,0.979,1,8
affinity,0.087,0.056,0.703,0.946,0.967,0.975,1,8
affinity,0.109,0.061,0.668,0.912,0.965,0.972,1,8
affinity,0.109,0.062,0.624,0.933,0.96,0.975,1,8
affinity,1.851,0.938,0.618,0.938,0.04,0.868,1,8
KMeans,0.09,0.049,0.693,0.911,0.969,0.98,1,9
KMeans,0.083,0.044,0.743,0.837,0.976,0.979,1,9
KMeans,0.081,0.046,0.695,0.841,0.973,0.98,1,9
KMeans,0.122,0.066,0.616,0.963,0.949,0.983,1,9
KMeans,0.136,0.075,0.599,0.968,0.944,0.979,1,9
KMeans,1.843,0.924,0.582,0.957,0.056,0.98,1,9
specteral,0.076,0.045,0.711,0.849,0.974,0.98,1,9
specteral,0.081,0.043,0.672,0.843,0.974,0.982,1,9
specteral,0.083,0.047,0.697,0.892,0.971,0.981,1,9
specteral,0.173,0.095,0.489,0.964,0.921,0.98,1,9
specteral,0.205,0.111,0.437,0.952,0.902,0.982,1,9
specteral,1.779,0.897,0.486,0.967,0.087,0.961,1,9
affinity,0.092,0.051,0.659,0.868,0.969,0.979,1,9
affinity,0.081,0.048,0.668,0.939,0.968,0.982,1,9
affinity,0.097,0.052,0.623,0.931,0.965,0.982,1,9
affinity,0.094,0.052,0.649,0.909,0.966,0.981,1,9
affinity,0.101,0.056,0.639,0.949,0.961,0.981,1,9
affinity,1.864,0.944,0.6,0.954,0.041,0.875,1,9
KMeans,0.109,0.061,0.858,0.864,0.971,0.966,1,10
KMeans,0.092,0.055,0.936,0.817,0.978,0.965,1,10
KMeans,0.118,0.064,0.854,0.842,0.971,0.963,1,10
KMeans,0.148,0.08,0.677,0.928,0.946,0.97,1,10
KMeans,0.145,0.086,0.622,0.95,0.94,0.97,1,10
KMeans,1.805,0.923,0.713,0.932,0.051,0.825,1,10
specteral,0.124,0.065,0.815,0.778,0.971,0.962,1,10
specteral,0.121,0.065,0.79,0.861,0.966,0.966,1,10
specteral,0.086,0.052,0.867,0.849,0.977,0.97,1,10
specteral,0.186,0.109,0.57,0.931,0.919,0.966,1,10
