,winDiff,pk,coverage,purity,recall,precision,season,episode
KMeans,0.11,0.06,0.643,0.89,0.959,0.98,1,9
KMeans,0.092,0.049,0.671,0.874,0.968,0.981,1,9
specteral,0.081,0.044,0.74,0.922,0.973,0.982,1,9
specteral,0.099,0.055,0.682,0.909,0.965,0.979,1,9
specteral,0.097,0.051,0.831,0.509,0.968,0.98,1,9
specteral,0.104,0.061,0.782,0.731,0.958,0.98,1,9
affinity,0.092,0.051,0.659,0.868,0.969,0.979,1,9
affinity,0.085,0.048,0.636,0.92,0.968,0.982,1,9
affinity,0.092,0.047,0.731,0.756,0.971,0.981,1,9
affinity,0.092,0.048,0.716,0.822,0.969,0.981,1,9
KMeans,0.101,0.056,0.832,0.82,0.974,0.968,1,10
KMeans,0.109,0.065,0.861,0.829,0.969,0.963,1,10
KMeans,0.13,0.071,0.809,0.722,0.963,0.963,1,10
KMeans,0.104,0.056,0.824,0.793,0.971,0.971,1,10
specteral,0.112,0.062,0.832,0.815,0.971,0.965,1,10
specteral,0.112,0.062,0.821,0.851,0.968,0.968,1,10
specteral,0.133,0.071,0.852,0.451,0.963,0.963,1,10
specteral,0.151,0.083,0.786,0.699,0.949,0.964,1,10
affinity,0.118,0.061,0.829,0.801,0.972,0.965,1,10
affinity,0.107,0.064,0.818,0.898,0.968,0.966,1,10
affinity,0.139,0.074,0.84,0.594,0.962,0.962,1,10
affinity,0.124,0.068,0.852,0.622,0.966,0.963,1,10
KMeans,0.084,0.048,0.824,0.868,0.975,0.976,2,1
KMeans,0.089,0.047,0.768,0.761,0.977,0.975,2,1
KMeans,0.089,0.048,0.786,0.749,0.975,0.976,2,1
KMeans,0.079,0.043,0.758,0.831,0.976,0.98,2,1
specteral,0.076,0.041,0.829,0.918,0.979,0.98,2,1
specteral,0.074,0.039,0.78,0.836,0.98,0.98,2,1
specteral,0.106,0.054,0.856,0.401,0.971,0.973,2,1
specteral,0.101,0.053,0.827,0.455,0.97,0.976,2,1
affinity,0.076,0.042,0.764,0.847,0.979,0.979,2,1
affinity,0.099,0.054,0.721,0.943,0.966,0.978,2,1
affinity,0.116,0.062,0.8,0.667,0.963,0.973,2,1
affinity,0.116,0.064,0.688,0.809,0.96,0.974,2,1
KMeans,0.079,0.049,0.834,0.891,0.973,0.977,2,2
KMeans,0.069,0.041,0.9,0.883,0.98,0.978,2,2
KMeans,0.108,0.059,0.782,0.728,0.963,0.975,2,2
KMeans,0.085,0.049,0.858,0.809,0.973,0.977,2,2
specteral,0.082,0.045,0.835,0.873,0.976,0.978,2,2
specteral,0.087,0.049,0.764,0.772,0.973,0.977,2,2
specteral,0.114,0.061,0.842,0.458,0.963,0.974,2,2
specteral,0.114,0.062,0.839,0.566,0.962,0.974,2,2
affinity,0.082,0.044,0.854,0.868,0.977,0.978,2,2
affinity,0.106,0.053,0.749,0.885,0.969,0.977,2,2
