,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,1.204,0.417,0.952,0.983,0.105,0.038,6,1
specteral,0.653,0.083,0.653,0.613,0.001,0.016,6,1
specteral,0.137,0.072,0.943,0.983,0.943,0.983,6,1
specteral,1.539,0.446,0.943,0.983,0.053,0.016,6,1
affinity,0.563,0.073,0.562,0.787,0.002,0.022,6,1
affinity,0.101,0.051,0.959,0.983,0.962,0.986,6,1
affinity,0.944,0.474,0.959,0.983,0.211,0.089,6,1
affinity,0.58,0.077,0.593,0.846,0.004,0.017,6,1
affinity,0.119,0.063,0.947,0.983,0.95,0.985,6,1
affinity,1.111,0.344,0.947,0.983,0.211,0.069,6,1
KMeans,0.477,0.048,0.732,0.851,0.032,0.051,7,1
KMeans,0.099,0.052,0.965,0.976,0.967,0.979,7,1
KMeans,0.525,0.316,0.965,0.976,0.13,0.088,7,1
KMeans,0.56,0.056,0.702,0.815,0.077,0.089,7,1
KMeans,0.097,0.052,0.961,0.976,0.965,0.981,7,1
KMeans,0.595,0.368,0.961,0.976,0.217,0.132,7,1
specteral,0.562,0.068,0.774,0.493,0.002,0.027,7,1
specteral,0.105,0.053,0.962,0.976,0.965,0.98,7,1
specteral,0.962,0.46,0.962,0.976,0.174,0.108,7,1
specteral,0.635,0.077,0.697,0.718,0.001,0.022,7,1
specteral,0.111,0.059,0.953,0.976,0.958,0.982,7,1
specteral,0.919,0.45,0.953,0.976,0.261,0.13,7,1
affinity,0.576,0.07,0.679,0.814,0.002,0.024,7,1
affinity,0.115,0.064,0.958,0.976,0.958,0.976,7,1
affinity,0.733,0.369,0.958,0.976,0.043,0.024,7,1
affinity,0.576,0.07,0.644,0.74,0.002,0.024,7,1
affinity,0.115,0.063,0.957,0.976,0.958,0.977,7,1
affinity,0.735,0.412,0.957,0.976,0.087,0.048,7,1
KMeans,1.74,0.031,0.684,0.845,0.067,0.091,8,1
KMeans,0.113,0.061,0.965,0.971,0.966,0.972,8,1
KMeans,0.574,0.4,0.965,0.971,0.059,0.049,8,1
KMeans,7.525,0.131,0.735,0.888,0.029,0.016,8,1
KMeans,0.106,0.056,0.971,0.971,0.971,0.971,8,1
KMeans,0.47,0.314,0.971,0.971,0.029,0.029,8,1
specteral,0.063,0.051,0.798,0.588,0.001,0.019,8,1
specteral,0.128,0.07,0.954,0.971,0.955,0.972,8,1
specteral,0.753,0.348,0.954,0.971,0.088,0.056,8,1
specteral,0.135,0.038,0.692,0.782,0.003,0.016,8,1
specteral,0.14,0.076,0.946,0.971,0.948,0.973,8,1
specteral,0.846,0.4,0.946,0.971,0.118,0.063,8,1
affinity,0.079,0.048,0.76,0.771,0.001,0.02,8,1
affinity,0.121,0.067,0.957,0.971,0.959,0.972,8,1
affinity,0.638,0.33,0.957,0.971,0.088,0.06,8,1
affinity,0.079,0.048,0.711,0.889,0.001,0.02,8,1
affinity,0.118,0.066,0.958,0.971,0.96,0.972,8,1
affinity,0.51,0.321,0.958,0.971,0.088,0.061,8,1
KMeans,0.489,0.041,0.685,0.863,0.037,0.054,9,1
KMeans,0.094,0.052,0.966,0.978,0.967,0.98,9,1
KMeans,0.571,0.373,0.966,0.978,0.105,0.067,9,1
KMeans,0.875,0.077,0.7,0.901,0.047,0.06,9,1
KMeans,0.085,0.045,0.963,0.978,0.969,0.984,9,1
KMeans,0.519,0.292,0.963,0.978,0.316,0.188,9,1
specteral,0.598,0.067,0.841,0.529,0.003,0.032,9,1
specteral,0.108,0.057,0.964,0.978,0.964,0.977,9,1
specteral,0.87,0.376,0.964,0.978,0.0,0.0,9,1
specteral,0.622,0.07,0.767,0.847,0.001,0.019,9,1
specteral,0.136,0.076,0.939,0.978,0.941,0.98,9,1
specteral,1.237,0.287,0.939,0.978,0.158,0.057,9,1
affinity,0.602,0.067,0.728,0.811,0.002,0.027,9,1
affinity,0.11,0.06,0.957,0.978,0.959,0.98,9,1
affinity,0.824,0.36,0.957,0.978,0.105,0.054,9,1
affinity,0.631,0.073,0.662,0.861,0.005,0.024,9,1
affinity,0.117,0.064,0.953,0.978,0.954,0.979,9,1
affinity,0.887,0.414,0.953,0.978,0.105,0.049,9,1
