,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,0.437,0.284,0.974,0.983,0.158,0.107,6,1
specteral,0.448,0.05,0.603,0.886,0.035,0.05,6,1
specteral,0.079,0.041,0.969,0.983,0.972,0.986,6,1
specteral,0.585,0.379,0.969,0.983,0.211,0.118,6,1
affinity,0.199,0.022,0.641,0.905,0.147,0.18,6,1
affinity,0.073,0.038,0.97,0.983,0.974,0.987,6,1
affinity,0.557,0.331,0.97,0.983,0.263,0.152,6,1
affinity,0.52,0.059,0.587,0.953,0.028,0.042,6,1
affinity,0.079,0.044,0.964,0.983,0.968,0.987,6,1
affinity,0.613,0.387,0.964,0.983,0.263,0.128,6,1
KMeans,0.021,0.002,0.754,0.894,0.214,0.248,7,1
KMeans,0.086,0.05,0.971,0.976,0.972,0.977,7,1
KMeans,0.421,0.317,0.971,0.976,0.043,0.036,7,1
KMeans,0.436,0.044,0.764,0.845,0.442,0.454,7,1
KMeans,0.068,0.039,0.974,0.976,0.979,0.981,7,1
KMeans,0.458,0.349,0.974,0.976,0.217,0.2,7,1
specteral,0.052,0.005,0.797,0.891,0.446,0.448,7,1
specteral,0.078,0.042,0.973,0.976,0.977,0.98,7,1
specteral,0.368,0.27,0.973,0.976,0.174,0.154,7,1
specteral,0.052,0.005,0.782,0.865,0.084,0.103,7,1
specteral,0.074,0.042,0.971,0.976,0.976,0.981,7,1
specteral,0.3,0.218,0.971,0.976,0.217,0.179,7,1
affinity,0.093,0.009,0.741,0.89,0.088,0.102,7,1
affinity,0.086,0.047,0.97,0.976,0.973,0.979,7,1
affinity,0.462,0.348,0.97,0.976,0.13,0.103,7,1
affinity,0.76,0.077,0.76,0.904,0.006,0.037,7,1
affinity,0.076,0.043,0.97,0.976,0.975,0.981,7,1
affinity,0.397,0.282,0.97,0.976,0.217,0.172,7,1
KMeans,2.526,0.044,0.723,0.821,0.051,0.029,8,1
KMeans,0.084,0.048,0.973,0.971,0.976,0.975,8,1
KMeans,0.5,0.35,0.973,0.971,0.147,0.156,8,1
KMeans,1.494,0.041,0.802,0.881,0.029,0.024,8,1
KMeans,0.082,0.048,0.976,0.971,0.978,0.973,8,1
KMeans,0.373,0.23,0.976,0.971,0.088,0.107,8,1
specteral,9.846,0.154,0.756,0.85,0.029,0.015,8,1
specteral,0.092,0.051,0.971,0.971,0.974,0.974,8,1
specteral,0.512,0.341,0.971,0.971,0.118,0.118,8,1
specteral,1.007,0.032,0.767,0.844,0.029,0.024,8,1
specteral,0.082,0.046,0.974,0.971,0.978,0.975,8,1
specteral,0.439,0.301,0.974,0.971,0.147,0.167,8,1
affinity,0.894,0.029,0.767,0.918,0.029,0.024,8,1
affinity,0.08,0.045,0.972,0.971,0.977,0.976,8,1
affinity,0.382,0.245,0.972,0.971,0.206,0.212,8,1
affinity,0.766,0.01,0.696,0.933,0.089,0.08,8,1
affinity,0.086,0.049,0.967,0.971,0.973,0.977,8,1
affinity,0.415,0.262,0.967,0.971,0.235,0.205,8,1
KMeans,0.126,0.01,0.734,0.911,0.298,0.313,9,1
KMeans,0.09,0.051,0.969,0.978,0.969,0.979,9,1
KMeans,0.444,0.324,0.969,0.978,0.053,0.037,9,1
KMeans,0.028,0.002,0.731,0.882,0.399,0.416,9,1
KMeans,0.074,0.04,0.972,0.978,0.976,0.982,9,1
KMeans,0.364,0.304,0.972,0.978,0.211,0.167,9,1
specteral,0.154,0.013,0.74,0.922,0.277,0.322,9,1
specteral,0.081,0.044,0.969,0.978,0.973,0.982,9,1
specteral,0.406,0.297,0.969,0.978,0.211,0.148,9,1
specteral,0.21,0.017,0.682,0.909,0.069,0.08,9,1
specteral,0.099,0.055,0.964,0.978,0.965,0.979,9,1
specteral,0.503,0.308,0.964,0.978,0.053,0.032,9,1
affinity,0.098,0.008,0.659,0.868,0.113,0.14,9,1
affinity,0.092,0.051,0.969,0.978,0.969,0.979,9,1
affinity,0.498,0.397,0.969,0.978,0.053,0.037,9,1
affinity,0.042,0.003,0.636,0.92,0.232,0.252,9,1
affinity,0.085,0.048,0.964,0.978,0.968,0.982,9,1
affinity,0.444,0.323,0.964,0.978,0.211,0.129,9,1
KMeans,0.147,0.006,0.832,0.82,0.105,0.077,10,1
KMeans,0.101,0.056,0.968,0.962,0.974,0.968,10,1
KMeans,0.373,0.29,0.968,0.962,0.192,0.227,10,1
KMeans,0.257,0.011,0.861,0.829,0.094,0.082,10,1
KMeans,0.109,0.065,0.968,0.962,0.969,0.963,10,1
KMeans,0.404,0.304,0.968,0.962,0.077,0.091,10,1
specteral,1.682,0.084,0.832,0.815,0.044,0.028,10,1
specteral,0.112,0.062,0.968,0.962,0.971,0.965,10,1
specteral,0.413,0.328,0.968,0.962,0.115,0.136,10,1
specteral,0.349,0.017,0.821,0.851,0.492,0.47,10,1
specteral,0.112,0.062,0.962,0.962,0.968,0.968,10,1
specteral,0.398,0.298,0.962,0.962,0.192,0.192,10,1
affinity,1.138,0.078,0.829,0.801,0.037,0.021,10,1
affinity,0.118,0.061,0.969,0.962,0.972,0.965,10,1
affinity,0.425,0.338,0.969,0.962,0.115,0.143,10,1
affinity,0.694,0.027,0.818,0.898,0.306,0.27,10,1
affinity,0.107,0.064,0.963,0.962,0.968,0.966,10,1
affinity,0.331,0.251,0.963,0.962,0.154,0.16,10,1
