,winDiff,pk,coverage,purity,recall,precision
KMeans,0.271,0.071,0.532,0.949,0.001,0.016
KMeans,0.148,0.08,0.923,0.964,0.937,0.979
KMeans,0.802,0.458,0.923,0.964,0.448,0.21
KMeans,0.929,0.036,0.565,0.937,0.051,0.073
KMeans,0.156,0.089,0.932,0.964,0.937,0.97
KMeans,0.685,0.413,0.932,0.964,0.207,0.109
specteral,0.356,0.062,0.63,0.891,0.094,0.121
specteral,0.121,0.065,0.951,0.964,0.959,0.973
specteral,0.578,0.384,0.951,0.964,0.276,0.2
specteral,0.929,0.03,0.593,0.94,0.115,0.128
specteral,0.121,0.072,0.942,0.964,0.951,0.974
specteral,0.609,0.388,0.942,0.964,0.31,0.191
affinity,0.36,0.062,0.464,0.948,0.0,0.014
affinity,0.18,0.1,0.911,0.964,0.921,0.974
affinity,1.001,0.526,0.911,0.964,0.345,0.139
affinity,0.341,0.055,0.483,0.952,0.003,0.013
affinity,0.19,0.105,0.904,0.964,0.914,0.975
affinity,1.089,0.519,0.904,0.964,0.379,0.141
