,winDiff,pk,coverage,purity,recall,precision
KMeans,0.58,0.098,0.523,0.962,0.018,0.032
KMeans,0.205,0.113,0.905,0.969,0.909,0.973
KMeans,1.127,0.466,0.905,0.969,0.222,0.073
KMeans,0.566,0.094,0.553,0.922,0.023,0.041
KMeans,0.188,0.106,0.919,0.969,0.919,0.97
KMeans,0.996,0.434,0.919,0.969,0.111,0.043
specteral,0.566,0.094,0.522,0.905,0.019,0.04
specteral,0.167,0.092,0.929,0.969,0.932,0.972
specteral,0.822,0.514,0.929,0.969,0.167,0.073
specteral,0.535,0.089,0.541,0.867,0.029,0.04
specteral,0.156,0.083,0.934,0.969,0.939,0.974
specteral,0.868,0.539,0.934,0.969,0.222,0.105
affinity,0.566,0.094,0.463,0.948,0.019,0.035
affinity,0.174,0.095,0.905,0.969,0.918,0.983
affinity,1.214,0.514,0.905,0.969,0.5,0.164
affinity,0.64,0.11,0.511,0.957,0.012,0.022
affinity,0.181,0.095,0.912,0.969,0.921,0.979
affinity,1.05,0.496,0.912,0.969,0.389,0.137
