,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,1.078,0.426,0.901,0.965,0.31,0.11,4,1
affinity,0.823,0.041,0.823,0.851,0.19,0.186,4,1
affinity,0.097,0.056,0.967,0.965,0.972,0.97,4,1
affinity,0.28,0.238,0.967,0.965,0.172,0.185,4,1
affinity,0.198,0.008,0.739,0.868,0.037,0.048,4,1
affinity,0.129,0.068,0.953,0.965,0.959,0.971,4,1
affinity,0.396,0.309,0.953,0.965,0.207,0.154,4,1
affinity,0.285,0.016,0.754,0.89,0.004,0.024,4,1
affinity,1.83,0.927,0.95,0.965,0.045,0.878,4,1
affinity,0.416,0.287,0.95,0.965,0.172,0.122,4,1
KMeans,0.099,0.005,0.49,0.922,0.018,0.02,5,1
KMeans,0.166,0.091,0.927,0.976,0.928,0.978,5,1
KMeans,1.151,0.445,0.927,0.976,0.136,0.044,5,1
KMeans,0.122,0.0,0.509,0.878,0.024,0.043,5,1
KMeans,0.16,0.086,0.927,0.976,0.93,0.98,5,1
KMeans,1.18,0.432,0.927,0.976,0.227,0.074,5,1
KMeans,0.085,0.006,0.57,0.905,0.029,0.036,5,1
KMeans,1.816,0.913,0.932,0.976,0.067,0.968,5,1
KMeans,1.041,0.4,0.932,0.976,0.091,0.032,5,1
specteral,0.088,0.008,0.577,0.963,0.011,0.014,5,1
specteral,0.166,0.093,0.92,0.976,0.924,0.98,5,1
specteral,1.299,0.366,0.92,0.976,0.227,0.068,5,1
specteral,0.181,0.007,0.523,0.975,0.022,0.029,5,1
specteral,0.169,0.094,0.913,0.976,0.919,0.983,5,1
specteral,1.45,0.401,0.913,0.976,0.364,0.099,5,1
specteral,0.157,0.003,0.516,0.974,0.015,0.015,5,1
specteral,1.762,0.89,0.905,0.976,0.093,0.955,5,1
specteral,1.598,0.411,0.905,0.976,0.182,0.045,5,1
affinity,0.073,0.006,0.738,0.875,0.051,0.074,5,1
affinity,0.091,0.051,0.969,0.976,0.97,0.978,5,1
affinity,0.478,0.338,0.969,0.976,0.091,0.069,5,1
affinity,0.359,0.008,0.649,0.937,0.016,0.04,5,1
affinity,0.11,0.06,0.955,0.976,0.958,0.98,5,1
affinity,0.599,0.359,0.955,0.976,0.182,0.095,5,1
affinity,0.249,0.035,0.643,0.924,0.003,0.023,5,1
affinity,1.859,0.936,0.954,0.976,0.044,0.93,5,1
affinity,0.64,0.368,0.954,0.976,0.136,0.07,5,1
KMeans,0.691,0.078,0.419,0.966,0.001,0.011,6,1
KMeans,0.181,0.096,0.918,0.983,0.918,0.983,6,1
KMeans,2.005,0.494,0.918,0.983,0.105,0.022,6,1
KMeans,0.315,0.035,0.477,0.961,0.019,0.026,6,1
KMeans,0.145,0.076,0.932,0.983,0.936,0.986,6,1
KMeans,1.561,0.46,0.932,0.983,0.263,0.068,6,1
KMeans,0.506,0.056,0.499,0.949,0.015,0.028,6,1
KMeans,1.833,0.92,0.934,0.983,0.065,0.972,6,1
KMeans,1.551,0.434,0.934,0.983,0.105,0.028,6,1
specteral,0.515,0.057,0.41,0.967,0.01,0.019,6,1
specteral,0.192,0.098,0.905,0.983,0.911,0.989,6,1
specteral,2.403,0.474,0.905,0.983,0.421,0.077,6,1
specteral,0.501,0.056,0.377,0.971,0.009,0.017,6,1
specteral,0.207,0.109,0.899,0.983,0.902,0.986,6,1
specteral,2.58,0.485,0.899,0.983,0.263,0.045,6,1
specteral,0.515,0.057,0.428,0.974,0.009,0.018,6,1
specteral,1.758,0.885,0.897,0.983,0.103,0.973,6,1
specteral,2.636,0.456,0.897,0.983,0.158,0.027,6,1
affinity,0.49,0.054,0.584,0.936,0.062,0.083,6,1
affinity,0.084,0.046,0.964,0.983,0.967,0.986,6,1
affinity,0.737,0.448,0.964,0.983,0.211,0.103,6,1
affinity,0.685,0.078,0.517,0.969,0.003,0.018,6,1
affinity,0.114,0.06,0.95,0.983,0.952,0.986,6,1
affinity,0.982,0.448,0.95,0.983,0.211,0.073,6,1
affinity,0.683,0.076,0.485,0.966,0.003,0.02,6,1
affinity,1.866,0.939,0.951,0.983,0.048,0.944,6,1
affinity,0.973,0.483,0.951,0.983,0.158,0.056,6,1
KMeans,0.541,0.059,0.514,0.935,0.012,0.014,7,1
KMeans,0.167,0.087,0.926,0.976,0.929,0.98,7,1
KMeans,1.212,0.418,0.926,0.976,0.217,0.069,7,1
KMeans,0.539,0.058,0.519,0.965,0.013,0.018,7,1
KMeans,0.144,0.079,0.93,0.976,0.936,0.982,7,1
KMeans,1.078,0.454,0.93,0.976,0.304,0.103,7,1
KMeans,0.508,0.052,0.546,0.932,0.017,0.03,7,1
KMeans,1.827,0.92,0.937,0.976,0.061,0.951,7,1
KMeans,0.992,0.403,0.937,0.976,0.13,0.049,7,1
specteral,0.544,0.06,0.521,0.949,0.011,0.012,7,1
specteral,0.177,0.098,0.918,0.976,0.92,0.979,7,1
specteral,1.366,0.445,0.918,0.976,0.174,0.05,7,1
specteral,0.519,0.052,0.516,0.959,0.012,0.022,7,1
specteral,0.198,0.109,0.909,0.976,0.909,0.977,7,1
specteral,1.544,0.439,0.909,0.976,0.13,0.034,7,1
specteral,0.525,0.054,0.425,0.969,0.011,0.018,7,1
specteral,1.761,0.887,0.904,0.976,0.095,0.968,7,1
specteral,1.622,0.488,0.904,0.976,0.13,0.032,7,1
affinity,0.01,0.001,0.72,0.908,0.396,0.398,7,1
affinity,0.082,0.045,0.968,0.976,0.973,0.981,7,1
affinity,0.47,0.331,0.968,0.976,0.217,0.161,7,1
affinity,0.743,0.083,0.638,0.936,0.005,0.024,7,1
affinity,0.107,0.058,0.958,0.976,0.961,0.98,7,1
affinity,0.546,0.367,0.958,0.976,0.174,0.098,7,1
affinity,0.596,0.074,0.609,0.934,0.003,0.02,7,1
affinity,1.852,0.93,0.95,0.976,0.049,0.959,7,1
affinity,0.66,0.39,0.95,0.976,0.087,0.041,7,1
KMeans,0.079,0.048,0.544,0.924,0.029,0.036,8,1
KMeans,0.173,0.092,0.93,0.971,0.931,0.972,8,1
KMeans,0.894,0.458,0.93,0.971,0.118,0.049,8,1
KMeans,0.909,0.02,0.558,0.932,0.058,0.062,8,1
KMeans,0.18,0.097,0.929,0.971,0.929,0.971,8,1
KMeans,1.008,0.458,0.929,0.971,0.059,0.024,8,1
KMeans,0.248,0.005,0.539,0.918,0.03,0.029,8,1
KMeans,1.81,0.907,0.934,0.971,0.067,0.987,8,1
KMeans,0.911,0.459,0.934,0.971,0.029,0.013,8,1
specteral,0.509,0.01,0.515,0.955,0.018,0.019,8,1
specteral,0.219,0.12,0.904,0.971,0.904,0.971,8,1
specteral,1.408,0.462,0.904,0.971,0.088,0.027,8,1
specteral,0.315,0.007,0.557,0.95,0.024,0.023,8,1
specteral,0.185,0.102,0.921,0.971,0.922,0.972,8,1
specteral,1.103,0.434,0.921,0.971,0.118,0.043,8,1
specteral,0.315,0.007,0.473,0.956,0.019,0.02,8,1
specteral,1.76,0.887,0.909,0.971,0.09,0.962,8,1
specteral,1.227,0.489,0.909,0.971,0.118,0.038,8,1
affinity,1.591,0.036,0.703,0.907,0.033,0.065,8,1
affinity,0.099,0.057,0.963,0.971,0.967,0.974,8,1
affinity,0.503,0.325,0.963,0.971,0.147,0.116,8,1
affinity,0.597,0.014,0.623,0.938,0.194,0.221,8,1
affinity,0.109,0.062,0.953,0.971,0.959,0.977,8,1
affinity,0.53,0.328,0.953,0.971,0.235,0.145,8,1
affinity,0.597,0.014,0.643,0.935,0.189,0.207,8,1
affinity,1.853,0.932,0.956,0.971,0.043,0.942,8,1
affinity,0.516,0.334,0.956,0.971,0.088,0.058,8,1
KMeans,0.865,0.088,0.515,0.966,0.001,0.014,9,1
KMeans,0.166,0.09,0.918,0.978,0.924,0.984,9,1
KMeans,1.431,0.412,0.918,0.978,0.316,0.085,9,1
KMeans,0.475,0.04,0.564,0.962,0.02,0.033,9,1
KMeans,0.161,0.086,0.931,0.978,0.932,0.979,9,1
KMeans,1.19,0.374,0.931,0.978,0.105,0.033,9,1
KMeans,0.517,0.043,0.546,0.959,0.019,0.035,9,1
KMeans,1.825,0.929,0.934,0.978,0.059,0.877,9,1
KMeans,1.098,0.4,0.934,0.978,0.368,0.123,9,1
specteral,0.461,0.038,0.449,0.968,0.016,0.026,9,1
specteral,0.18,0.098,0.913,0.978,0.917,0.982,9,1
specteral,1.619,0.416,0.913,0.978,0.263,0.066,9,1
specteral,0.594,0.051,0.424,0.964,0.01,0.016,9,1
specteral,0.205,0.113,0.9,0.978,0.902,0.981,9,1
specteral,1.919,0.42,0.9,0.978,0.211,0.046,9,1
specteral,0.678,0.058,0.391,0.967,0.008,0.014,9,1
specteral,1.749,0.884,0.897,0.978,0.101,0.956,9,1
