,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,0.434,0.346,0.964,0.965,0.034,0.033,4,1
affinity,1.282,0.08,0.863,0.779,0.033,0.015,4,1
affinity,0.092,0.051,0.972,0.965,0.977,0.97,4,1
affinity,0.282,0.233,0.972,0.965,0.172,0.217,4,1
affinity,0.375,0.014,0.806,0.84,0.353,0.367,4,1
affinity,0.119,0.065,0.962,0.965,0.965,0.967,4,1
affinity,0.401,0.326,0.962,0.965,0.103,0.097,4,1
affinity,0.158,0.006,0.783,0.842,0.116,0.137,4,1
affinity,0.104,0.062,0.961,0.965,0.966,0.97,4,1
affinity,0.372,0.289,0.961,0.965,0.172,0.156,4,1
KMeans,1.114,0.033,0.684,0.822,0.036,0.051,5,1
KMeans,0.115,0.059,0.962,0.976,0.962,0.976,5,1
KMeans,0.519,0.333,0.962,0.976,0.045,0.029,5,1
KMeans,1.316,0.03,0.699,0.867,0.079,0.116,5,1
KMeans,0.102,0.057,0.967,0.976,0.966,0.975,5,1
KMeans,0.61,0.44,0.967,0.976,0.0,0.0,5,1
KMeans,1.376,0.033,0.733,0.848,0.111,0.145,5,1
KMeans,0.097,0.054,0.97,0.976,0.969,0.976,5,1
KMeans,0.442,0.313,0.97,0.976,0.0,0.0,5,1
specteral,3.217,0.064,0.741,0.918,0.159,0.184,5,1
specteral,0.084,0.046,0.969,0.976,0.972,0.98,5,1
specteral,0.427,0.297,0.969,0.976,0.182,0.138,5,1
specteral,2.259,0.049,0.742,0.851,0.098,0.125,5,1
specteral,0.093,0.048,0.97,0.976,0.972,0.979,5,1
specteral,0.486,0.345,0.97,0.976,0.136,0.107,5,1
specteral,0.183,0.001,0.739,0.913,0.068,0.081,5,1
specteral,0.089,0.049,0.967,0.976,0.97,0.98,5,1
specteral,0.385,0.27,0.967,0.976,0.182,0.129,5,1
affinity,0.687,0.014,0.788,0.795,0.545,0.516,5,1
affinity,0.091,0.049,0.975,0.976,0.975,0.976,5,1
affinity,0.413,0.317,0.975,0.976,0.0,0.0,5,1
affinity,0.183,0.001,0.68,0.896,0.07,0.076,5,1
affinity,0.095,0.053,0.964,0.976,0.967,0.979,5,1
affinity,0.491,0.376,0.964,0.976,0.136,0.091,5,1
affinity,0.236,0.034,0.684,0.879,0.004,0.029,5,1
affinity,0.104,0.054,0.963,0.976,0.966,0.979,5,1
affinity,0.503,0.343,0.963,0.976,0.136,0.088,5,1
KMeans,0.291,0.032,0.625,0.915,0.043,0.056,6,1
KMeans,0.082,0.046,0.966,0.983,0.968,0.985,6,1
KMeans,0.565,0.369,0.966,0.983,0.158,0.081,6,1
KMeans,0.291,0.032,0.68,0.908,0.135,0.15,6,1
KMeans,0.079,0.043,0.969,0.983,0.971,0.985,6,1
KMeans,0.554,0.286,0.969,0.983,0.158,0.088,6,1
KMeans,0.291,0.032,0.594,0.861,0.123,0.13,6,1
KMeans,0.088,0.047,0.969,0.983,0.969,0.983,6,1
KMeans,0.661,0.424,0.969,0.983,0.053,0.029,6,1
specteral,0.332,0.037,0.636,0.885,0.208,0.196,6,1
specteral,0.088,0.048,0.97,0.983,0.969,0.982,6,1
specteral,0.694,0.434,0.97,0.983,0.0,0.0,6,1
specteral,0.49,0.054,0.603,0.893,0.051,0.078,6,1
specteral,0.095,0.05,0.963,0.983,0.965,0.984,6,1
specteral,0.706,0.368,0.963,0.983,0.105,0.05,6,1
specteral,0.274,0.03,0.651,0.908,0.106,0.102,6,1
specteral,0.077,0.043,0.969,0.983,0.971,0.985,6,1
specteral,0.562,0.329,0.969,0.983,0.158,0.088,6,1
affinity,0.174,0.019,0.604,0.883,0.124,0.14,6,1
affinity,0.084,0.046,0.972,0.983,0.971,0.982,6,1
affinity,0.552,0.39,0.972,0.983,0.0,0.0,6,1
affinity,0.685,0.078,0.51,0.964,0.003,0.021,6,1
affinity,0.097,0.055,0.957,0.983,0.959,0.985,6,1
affinity,0.812,0.467,0.957,0.983,0.158,0.064,6,1
affinity,0.174,0.019,0.567,0.964,0.041,0.048,6,1
affinity,0.084,0.049,0.96,0.983,0.964,0.987,6,1
affinity,0.772,0.455,0.96,0.983,0.263,0.114,6,1
KMeans,0.477,0.048,0.706,0.876,0.035,0.061,7,1
KMeans,0.093,0.052,0.967,0.976,0.968,0.978,7,1
KMeans,0.471,0.326,0.967,0.976,0.087,0.062,7,1
KMeans,0.28,0.028,0.698,0.807,0.137,0.19,7,1
KMeans,0.093,0.05,0.971,0.976,0.972,0.977,7,1
KMeans,0.527,0.399,0.971,0.976,0.043,0.036,7,1
KMeans,0.373,0.037,0.754,0.818,0.049,0.066,7,1
KMeans,0.084,0.047,0.972,0.976,0.974,0.978,7,1
KMeans,0.42,0.273,0.972,0.976,0.087,0.074,7,1
specteral,0.031,0.003,0.711,0.915,0.138,0.147,7,1
specteral,0.086,0.045,0.966,0.976,0.972,0.982,7,1
specteral,0.435,0.316,0.966,0.976,0.261,0.182,7,1
specteral,0.021,0.002,0.713,0.893,0.147,0.161,7,1
specteral,0.099,0.053,0.966,0.976,0.967,0.978,7,1
specteral,0.506,0.364,0.966,0.976,0.087,0.061,7,1
specteral,0.28,0.028,0.691,0.86,0.052,0.058,7,1
specteral,0.086,0.044,0.967,0.976,0.973,0.982,7,1
specteral,0.473,0.345,0.967,0.976,0.261,0.188,7,1
affinity,0.145,0.015,0.739,0.868,0.436,0.43,7,1
affinity,0.095,0.051,0.972,0.976,0.972,0.976,7,1
affinity,0.48,0.365,0.972,0.976,0.0,0.0,7,1
affinity,0.749,0.081,0.708,0.933,0.006,0.029,7,1
affinity,0.091,0.049,0.964,0.976,0.968,0.981,7,1
affinity,0.458,0.323,0.964,0.976,0.217,0.143,7,1
affinity,0.754,0.083,0.666,0.932,0.003,0.027,7,1
affinity,0.101,0.053,0.962,0.976,0.965,0.98,7,1
affinity,0.498,0.362,0.962,0.976,0.174,0.108,7,1
KMeans,2.526,0.044,0.773,0.879,0.052,0.056,8,1
KMeans,0.106,0.055,0.969,0.971,0.971,0.973,8,1
KMeans,0.494,0.321,0.969,0.971,0.088,0.083,8,1
KMeans,1.274,0.041,0.797,0.812,0.029,0.022,8,1
KMeans,0.084,0.047,0.974,0.971,0.977,0.975,8,1
KMeans,0.456,0.293,0.974,0.971,0.147,0.161,8,1
KMeans,4.282,0.082,0.806,0.912,0.029,0.023,8,1
KMeans,0.092,0.053,0.971,0.971,0.973,0.973,8,1
KMeans,0.402,0.249,0.971,0.971,0.088,0.088,8,1
specteral,8.638,0.13,0.765,0.908,0.03,0.047,8,1
specteral,0.101,0.056,0.968,0.971,0.97,0.973,8,1
specteral,0.451,0.296,0.968,0.971,0.088,0.081,8,1
specteral,2.667,0.058,0.716,0.907,0.033,0.047,8,1
specteral,0.103,0.059,0.965,0.971,0.967,0.973,8,1
specteral,0.534,0.351,0.965,0.971,0.088,0.073,8,1
specteral,2.316,0.075,0.711,0.891,0.033,0.044,8,1
specteral,0.094,0.053,0.969,0.971,0.972,0.974,8,1
specteral,0.489,0.332,0.969,0.971,0.118,0.111,8,1
affinity,1.364,0.038,0.739,0.87,0.029,0.024,8,1
affinity,0.096,0.053,0.971,0.971,0.973,0.973,8,1
affinity,0.461,0.324,0.971,0.971,0.088,0.088,8,1
affinity,0.135,0.039,0.716,0.932,0.259,0.266,8,1
affinity,0.092,0.053,0.964,0.971,0.969,0.976,8,1
affinity,0.444,0.286,0.964,0.971,0.206,0.167,8,1
affinity,0.597,0.014,0.652,0.926,0.098,0.1,8,1
affinity,0.096,0.056,0.962,0.971,0.967,0.976,8,1
affinity,0.489,0.323,0.962,0.971,0.206,0.156,8,1
KMeans,0.084,0.007,0.699,0.899,0.087,0.106,9,1
KMeans,0.097,0.053,0.967,0.978,0.967,0.979,9,1
KMeans,0.458,0.346,0.967,0.978,0.053,0.034,9,1
KMeans,0.307,0.026,0.743,0.898,0.069,0.083,9,1
KMeans,0.085,0.045,0.968,0.978,0.972,0.982,9,1
KMeans,0.453,0.351,0.968,0.978,0.211,0.143,9,1
KMeans,0.363,0.03,0.753,0.882,0.074,0.098,9,1
KMeans,0.085,0.044,0.971,0.978,0.974,0.981,9,1
KMeans,0.368,0.279,0.971,0.978,0.158,0.12,9,1
specteral,0.307,0.026,0.655,0.907,0.136,0.155,9,1
specteral,0.094,0.052,0.966,0.978,0.967,0.98,9,1
specteral,0.496,0.374,0.966,0.978,0.105,0.067,9,1
specteral,0.265,0.022,0.721,0.887,0.079,0.087,9,1
specteral,0.094,0.048,0.967,0.978,0.969,0.981,9,1
specteral,0.484,0.338,0.967,0.978,0.158,0.103,9,1
specteral,0.307,0.026,0.625,0.901,0.051,0.065,9,1
specteral,0.094,0.051,0.964,0.978,0.967,0.981,9,1
specteral,0.49,0.367,0.964,0.978,0.158,0.097,9,1
affinity,0.196,0.016,0.672,0.848,0.174,0.183,9,1
affinity,0.09,0.049,0.97,0.978,0.971,0.979,9,1
affinity,0.51,0.413,0.97,0.978,0.053,0.038,9,1
affinity,0.391,0.033,0.645,0.926,0.052,0.063,9,1
affinity,0.09,0.052,0.963,0.978,0.966,0.981,9,1
affinity,0.515,0.377,0.963,0.978,0.158,0.094,9,1
affinity,0.652,0.073,0.622,0.91,0.003,0.03,9,1
affinity,0.097,0.051,0.962,0.978,0.966,0.982,9,1
affinity,0.517,0.371,0.962,0.978,0.211,0.121,9,1
KMeans,0.183,0.008,0.823,0.892,0.228,0.239,10,1
KMeans,0.133,0.074,0.959,0.962,0.96,0.963,10,1
KMeans,0.346,0.26,0.959,0.962,0.077,0.071,10,1
KMeans,0.257,0.011,0.848,0.796,0.092,0.074,10,1
KMeans,0.13,0.068,0.968,0.962,0.968,0.962,10,1
KMeans,0.419,0.34,0.968,0.962,0.038,0.045,10,1
KMeans,0.349,0.021,0.863,0.784,0.072,0.057,10,1
KMeans,0.127,0.065,0.97,0.962,0.971,0.962,10,1
KMeans,0.407,0.334,0.97,0.962,0.038,0.05,10,1
specteral,0.037,0.002,0.789,0.823,0.364,0.336,10,1
specteral,0.112,0.062,0.965,0.962,0.969,0.966,10,1
specteral,0.386,0.299,0.965,0.962,0.154,0.167,10,1
specteral,0.404,0.017,0.724,0.817,0.102,0.129,10,1
specteral,0.151,0.081,0.957,0.962,0.955,0.96,10,1
specteral,0.491,0.385,0.957,0.962,0.0,0.0,10,1
specteral,0.22,0.009,0.793,0.811,0.349,0.373,10,1
specteral,0.127,0.072,0.963,0.962,0.963,0.962,10,1
specteral,0.473,0.355,0.963,0.962,0.038,0.04,10,1
affinity,1.945,0.148,0.882,0.586,0.037,0.008,10,1
affinity,0.112,0.056,0.982,0.962,0.982,0.961,10,1
affinity,0.551,0.462,0.982,0.962,0.0,0.0,10,1
affinity,0.183,0.008,0.838,0.809,0.222,0.225,10,1
affinity,0.109,0.061,0.969,0.962,0.972,0.965,10,1
affinity,0.367,0.296,0.969,0.962,0.115,0.143,10,1
affinity,0.379,0.024,0.743,0.787,0.183,0.191,10,1
