,winDiff,pk,coverage,purity,recall,precision
KMeans,0.68,0.078,0.556,0.961,0.008,0.016
KMeans,0.15,0.085,0.928,0.978,0.931,0.981
KMeans,1.276,0.356,0.928,0.978,0.211,0.063
KMeans,0.405,0.034,0.566,0.953,0.019,0.026
KMeans,0.161,0.087,0.925,0.978,0.928,0.981
KMeans,1.325,0.35,0.925,0.978,0.211,0.062
specteral,0.66,0.074,0.766,0.597,0.004,0.032
specteral,0.106,0.057,0.964,0.978,0.964,0.977
specteral,0.804,0.374,0.964,0.978,0.0,0.0
specteral,0.674,0.074,0.71,0.806,0.001,0.021
specteral,0.133,0.071,0.946,0.978,0.947,0.979
specteral,1.097,0.37,0.946,0.978,0.105,0.043
affinity,0.587,0.065,0.49,0.909,0.001,0.012
affinity,0.209,0.11,0.907,0.978,0.907,0.978
affinity,1.835,0.358,0.907,0.978,0.105,0.025
affinity,0.587,0.065,0.471,0.89,0.001,0.012
affinity,0.205,0.105,0.903,0.978,0.908,0.983
affinity,1.923,0.448,0.903,0.978,0.316,0.071
