,winDiff,pk,coverage,purity,recall,precision,episode,season
specteral,0.8,0.363,0.916,0.965,0.172,0.072,4,1
affinity,0.318,0.02,0.834,0.879,0.293,0.319,4,1
affinity,0.097,0.053,0.962,0.965,0.971,0.974,4,1
affinity,0.29,0.222,0.962,0.965,0.276,0.258,4,1
affinity,0.321,0.01,0.8,0.922,0.111,0.128,4,1
affinity,0.1,0.061,0.955,0.965,0.964,0.973,4,1
affinity,0.316,0.236,0.955,0.965,0.276,0.216,4,1
affinity,0.285,0.016,0.787,0.927,0.005,0.03,4,1
affinity,1.845,0.937,0.958,0.965,0.036,0.829,4,1
affinity,0.277,0.229,0.958,0.965,0.207,0.171,4,1
KMeans,0.126,0.003,0.56,0.941,0.024,0.028,5,1
KMeans,0.141,0.076,0.937,0.976,0.941,0.98,5,1
KMeans,0.935,0.411,0.937,0.976,0.227,0.086,5,1
KMeans,1.286,0.029,0.576,0.877,0.044,0.055,5,1
KMeans,0.123,0.065,0.944,0.976,0.95,0.983,5,1
KMeans,0.835,0.355,0.944,0.976,0.318,0.135,5,1
KMeans,0.092,0.002,0.549,0.925,0.039,0.053,5,1
KMeans,1.849,0.94,0.948,0.976,0.045,0.854,5,1
KMeans,0.755,0.449,0.948,0.976,0.318,0.146,5,1
specteral,0.049,0.007,0.526,0.95,0.015,0.017,5,1
specteral,0.138,0.076,0.929,0.976,0.937,0.985,5,1
specteral,1.092,0.415,0.929,0.976,0.409,0.136,5,1
specteral,0.27,0.005,0.529,0.954,0.017,0.025,5,1
specteral,0.16,0.087,0.925,0.976,0.929,0.98,5,1
specteral,1.148,0.407,0.925,0.976,0.227,0.072,5,1
specteral,0.197,0.008,0.575,0.96,0.01,0.016,5,1
specteral,1.818,0.92,0.933,0.976,0.063,0.919,5,1
specteral,1.001,0.398,0.933,0.976,0.227,0.081,5,1
affinity,1.17,0.03,0.657,0.896,0.047,0.069,5,1
affinity,0.089,0.05,0.963,0.976,0.968,0.981,5,1
affinity,0.541,0.39,0.963,0.976,0.227,0.147,5,1
affinity,0.11,0.007,0.644,0.928,0.036,0.05,5,1
affinity,0.095,0.053,0.958,0.976,0.963,0.982,5,1
affinity,0.57,0.396,0.958,0.976,0.273,0.154,5,1
affinity,0.249,0.035,0.652,0.95,0.003,0.024,5,1
affinity,1.864,0.945,0.956,0.976,0.039,0.854,5,1
affinity,0.58,0.369,0.956,0.976,0.273,0.146,5,1
KMeans,0.498,0.055,0.44,0.929,0.015,0.027,6,1
KMeans,0.145,0.075,0.935,0.983,0.938,0.985,6,1
KMeans,1.5,0.476,0.935,0.983,0.211,0.056,6,1
KMeans,0.506,0.056,0.51,0.959,0.016,0.03,6,1
KMeans,0.136,0.074,0.94,0.983,0.94,0.983,6,1
KMeans,1.379,0.442,0.94,0.983,0.105,0.03,6,1
KMeans,0.498,0.055,0.484,0.963,0.015,0.027,6,1
KMeans,1.833,0.931,0.934,0.983,0.06,0.889,6,1
KMeans,1.528,0.42,0.934,0.983,0.421,0.111,6,1
specteral,0.506,0.056,0.429,0.97,0.012,0.022,6,1
specteral,0.176,0.097,0.918,0.983,0.918,0.982,6,1
specteral,1.973,0.483,0.918,0.983,0.053,0.011,6,1
specteral,0.515,0.057,0.418,0.942,0.011,0.021,6,1
specteral,0.176,0.094,0.914,0.983,0.917,0.986,6,1
specteral,2.119,0.468,0.914,0.983,0.263,0.053,6,1
specteral,0.515,0.057,0.397,0.962,0.01,0.018,6,1
specteral,1.767,0.891,0.901,0.983,0.097,0.963,6,1
specteral,2.506,0.492,0.901,0.983,0.211,0.037,6,1
affinity,0.266,0.029,0.558,0.946,0.101,0.095,6,1
affinity,0.081,0.045,0.963,0.983,0.967,0.987,6,1
affinity,0.716,0.425,0.963,0.983,0.263,0.125,6,1
affinity,0.683,0.076,0.499,0.951,0.004,0.022,6,1
affinity,0.103,0.052,0.954,0.983,0.959,0.988,6,1
affinity,0.886,0.461,0.954,0.983,0.316,0.12,6,1
affinity,0.683,0.076,0.482,0.955,0.004,0.022,6,1
affinity,1.874,0.942,0.954,0.983,0.044,0.94,6,1
affinity,0.847,0.475,0.954,0.983,0.158,0.06,6,1
KMeans,0.757,0.084,0.571,0.966,0.001,0.016,7,1
KMeans,0.142,0.078,0.935,0.976,0.939,0.98,7,1
KMeans,0.949,0.417,0.935,0.976,0.217,0.079,7,1
KMeans,0.135,0.013,0.624,0.952,0.032,0.036,7,1
KMeans,0.132,0.076,0.943,0.976,0.944,0.977,7,1
KMeans,0.857,0.356,0.943,0.976,0.087,0.036,7,1
KMeans,0.498,0.05,0.627,0.946,0.023,0.036,7,1
KMeans,1.856,0.938,0.952,0.976,0.044,0.894,7,1
KMeans,0.7,0.378,0.952,0.976,0.217,0.106,7,1
specteral,0.548,0.058,0.442,0.952,0.011,0.017,7,1
specteral,0.167,0.088,0.921,0.976,0.926,0.982,7,1
specteral,1.278,0.485,0.921,0.976,0.304,0.091,7,1
specteral,0.604,0.07,0.48,0.97,0.008,0.012,7,1
specteral,0.177,0.1,0.912,0.976,0.916,0.981,7,1
specteral,1.477,0.472,0.912,0.976,0.261,0.07,7,1
specteral,0.604,0.07,0.509,0.958,0.008,0.012,7,1
specteral,1.78,0.9,0.914,0.976,0.083,0.94,7,1
specteral,1.396,0.417,0.914,0.976,0.217,0.06,7,1
affinity,0.176,0.018,0.632,0.91,0.045,0.054,7,1
affinity,0.101,0.055,0.962,0.976,0.964,0.979,7,1
affinity,0.549,0.396,0.962,0.976,0.13,0.081,7,1
affinity,0.548,0.058,0.667,0.94,0.023,0.034,7,1
affinity,0.091,0.052,0.961,0.976,0.965,0.981,7,1
affinity,0.517,0.342,0.961,0.976,0.217,0.132,7,1
affinity,0.596,0.074,0.669,0.942,0.003,0.023,7,1
affinity,1.864,0.938,0.956,0.976,0.042,0.93,7,1
affinity,0.517,0.331,0.956,0.976,0.13,0.07,7,1
KMeans,0.766,0.01,0.583,0.953,0.027,0.028,8,1
KMeans,0.156,0.084,0.937,0.971,0.939,0.974,8,1
KMeans,0.777,0.433,0.937,0.971,0.147,0.068,8,1
KMeans,0.986,0.015,0.716,0.929,0.101,0.102,8,1
KMeans,0.125,0.07,0.954,0.971,0.955,0.972,8,1
KMeans,0.585,0.303,0.954,0.971,0.088,0.056,8,1
KMeans,1.494,0.041,0.653,0.916,0.042,0.06,8,1
KMeans,1.851,0.932,0.955,0.971,0.043,0.925,8,1
KMeans,0.635,0.381,0.955,0.971,0.118,0.075,8,1
specteral,0.26,0.003,0.559,0.936,0.035,0.038,8,1
specteral,0.163,0.087,0.937,0.971,0.938,0.972,8,1
specteral,0.849,0.438,0.937,0.971,0.088,0.041,8,1
specteral,0.511,0.003,0.522,0.948,0.043,0.047,8,1
specteral,0.178,0.097,0.926,0.971,0.927,0.971,8,1
specteral,0.937,0.465,0.926,0.971,0.088,0.035,8,1
specteral,0.766,0.01,0.551,0.954,0.029,0.037,8,1
specteral,1.796,0.908,0.926,0.971,0.07,0.93,8,1
specteral,1.019,0.427,0.926,0.971,0.176,0.07,8,1
affinity,0.711,0.019,0.668,0.912,0.14,0.183,8,1
affinity,0.109,0.061,0.963,0.971,0.965,0.972,8,1
affinity,0.51,0.355,0.963,0.971,0.088,0.07,8,1
affinity,1.109,0.017,0.624,0.933,0.062,0.067,8,1
affinity,0.109,0.062,0.956,0.971,0.96,0.975,8,1
affinity,0.55,0.354,0.956,0.971,0.176,0.118,8,1
affinity,0.103,0.043,0.618,0.938,0.027,0.043,8,1
affinity,1.851,0.938,0.955,0.971,0.04,0.868,8,1
affinity,0.53,0.354,0.955,0.971,0.206,0.132,8,1
KMeans,0.594,0.051,0.616,0.963,0.019,0.029,9,1
KMeans,0.122,0.066,0.945,0.978,0.949,0.983,9,1
KMeans,0.804,0.342,0.945,0.978,0.263,0.104,9,1
KMeans,0.629,0.058,0.599,0.968,0.015,0.022,9,1
KMeans,0.136,0.075,0.943,0.978,0.944,0.979,9,1
KMeans,0.888,0.376,0.943,0.978,0.105,0.04,9,1
KMeans,0.182,0.015,0.582,0.957,0.037,0.045,9,1
KMeans,1.843,0.924,0.944,0.978,0.056,0.98,9,1
KMeans,0.888,0.407,0.944,0.978,0.053,0.02,9,1
specteral,0.154,0.013,0.489,0.964,0.025,0.029,9,1
specteral,0.173,0.095,0.92,0.978,0.921,0.98,9,1
specteral,1.432,0.426,0.92,0.978,0.158,0.043,9,1
specteral,0.666,0.077,0.437,0.952,0.006,0.011,9,1
specteral,0.205,0.111,0.899,0.978,0.902,0.982,9,1
specteral,1.937,0.455,0.899,0.978,0.263,0.057,9,1
specteral,0.698,0.065,0.486,0.967,0.008,0.013,9,1
specteral,1.779,0.897,0.911,0.978,0.087,0.961,9,1
specteral,1.665,0.438,0.911,0.978,0.158,0.039,9,1
affinity,0.237,0.02,0.649,0.909,0.066,0.079,9,1
affinity,0.094,0.052,0.963,0.978,0.966,0.981,9,1
affinity,0.531,0.4,0.963,0.978,0.158,0.094,9,1
affinity,0.377,0.031,0.639,0.949,0.038,0.051,9,1
affinity,0.101,0.056,0.959,0.978,0.961,0.981,9,1
affinity,0.55,0.374,0.959,0.978,0.158,0.083,9,1
affinity,0.666,0.074,0.6,0.954,0.003,0.025,9,1
affinity,1.864,0.944,0.954,0.978,0.041,0.875,9,1
affinity,0.591,0.366,0.954,0.978,0.263,0.125,9,1
KMeans,0.428,0.027,0.677,0.928,0.054,0.064,10,1
KMeans,0.148,0.08,0.938,0.962,0.946,0.97,10,1
KMeans,0.515,0.32,0.938,0.962,0.269,0.167,10,1
KMeans,0.382,0.018,0.622,0.95,0.027,0.039,10,1
KMeans,0.145,0.086,0.932,0.962,0.94,0.97,10,1
KMeans,0.56,0.34,0.932,0.962,0.269,0.152,10,1
KMeans,0.367,0.015,0.713,0.932,0.047,0.073,10,1
KMeans,1.805,0.923,0.941,0.962,0.051,0.825,10,1
KMeans,0.452,0.272,0.941,0.962,0.269,0.175,10,1
specteral,0.45,0.021,0.57,0.931,0.02,0.03,10,1
specteral,0.186,0.109,0.914,0.962,0.919,0.966,10,1
specteral,0.81,0.379,0.914,0.962,0.192,0.086,10,1
specteral,0.472,0.034,0.622,0.907,0.012,0.019,10,1
specteral,0.183,0.103,0.92,0.962,0.925,0.966,10,1
specteral,0.747,0.386,0.92,0.962,0.192,0.093,10,1
specteral,0.454,0.029,0.603,0.945,0.012,0.018,10,1
specteral,1.731,0.882,0.903,0.962,0.092,0.909,10,1
specteral,0.919,0.377,0.903,0.962,0.231,0.091,10,1
affinity,0.505,0.029,0.827,0.863,0.108,0.093,10,1
affinity,0.115,0.065,0.965,0.962,0.968,0.965,10,1
affinity,0.373,0.295,0.965,0.962,0.115,0.125,10,1
affinity,0.682,0.04,0.774,0.861,0.051,0.07,10,1
affinity,0.127,0.066,0.954,0.962,0.962,0.969,10,1
affinity,0.443,0.322,0.954,0.962,0.231,0.194,10,1
affinity,0.682,0.04,0.688,0.894,0.021,0.055,10,1
affinity,1.825,0.925,0.951,0.962,0.045,0.879,10,1
affinity,0.44,0.328,0.951,0.962,0.154,0.121,10,1
KMeans,0.736,0.114,0.568,0.931,0.007,0.021,1,2
KMeans,0.138,0.073,0.941,0.974,0.946,0.979,1,2
KMeans,0.796,0.409,0.941,0.974,0.238,0.104,1,2
KMeans,0.572,0.082,0.572,0.946,0.026,0.046,1,2
KMeans,0.116,0.066,0.95,0.974,0.953,0.978,1,2
KMeans,0.621,0.366,0.95,0.974,0.19,0.098,1,2
KMeans,0.052,0.007,0.749,0.938,0.207,0.167,1,2
KMeans,1.869,0.94,0.961,0.974,0.038,0.938,1,2
KMeans,0.465,0.288,0.961,0.974,0.095,0.062,1,2
